lr,lc,rc,ld,rd,lnnz,rnnz
135073,36601,2219,4.64E-06,0.2,22939,16250287
4343,32317,2658,0.00952101,0.3,1336538,25774369
42404,35125,3323,0.00078778,0.15,1173370,17510014
64722,5404,16755,0.00018467,0.001,64598,90559
56025,8581,24253,0.00031941,0.25,153567,52032484
110571,261,12311,0.00018467,0.2,5347,644870
31828,18914,31136,0.00182521,0.05,1098802,29446276
59135,41223,4230,0.00047003,0.03,1145819,5231647
86687,25403,9798,2.48E-05,0.13,54680,32359874
40246,26783,49126,0.00082282,0.0005,886932,657880
87965,54659,7034,0.00491597,0.01,23636754,3845096
141592,16380,3266,0.00015297,0.15,354784,8026330
75369,8539,1254,0.00013363,0.3,86002,3214215
64454,27654,3360,4.34E-06,0.27,7735,25089378
86815,26251,8349,2.48E-05,0.3,56589,65757901
136718,3121,9335,2.48E-05,0.1,10595,2913946
95617,8905,17810,0.00031941,0.005,271989,793051
18948,6442,2984,0.00082487,0.01,100697,192300
126180,166,10003,0.00013363,0.17,2813,283782
82643,5011,12119,4.34E-06,0.17,1797,10326079
62436,25951,7925,0.00182521,0.27,2957356,55530513
65121,27357,5307,2.09E-05,0.23,37199,33396702
70934,45928,15600,0.00082282,0.001,2680691,716519
52996,89484,21233,0.00078778,0.001,3735936,1900092
105396,22206,17039,0.00108175,0.001,2531877,378384
17952,16690,8828,0.00018467,0.001,55333,147350
43604,17784,7401,8.43E-05,0.1,65365,13163190
106163,27250,2196,2.09E-05,0.25,60405,14963431
97955,48914,21194,0.00370564,0.005,17755499,5183567
15199,16606,6119,0.00108175,0.01,273032,1016188
112391,5442,9686,8.43E-05,0.23,51556,12124677
119484,26370,3621,0.00082185,0.1,2589577,9550231
7821,76784,106,4.64E-06,0.15,2786,1227729
70405,723,3629,0.00018467,0.23,9404,603795
82014,32115,11685,0.00056263,0.07,1481907,26270438
149468,38376,1576,0.00034241,0.2,1964084,12098256
90398,4304,10370,8.43E-05,0.2,32796,8927732
7894,23097,1632,0.00182521,0.27,332797,10181644
38440,89275,1834,2.48E-05,0.23,85210,37665012
57938,92797,4044,0.00082185,0.0005,4418738,187676
118659,71177,2768,0.00013363,0.25,1128622,49264435
9813,13253,12593,0.00056263,0.17,73177,28376006
59711,37498,4310,0.00163948,0.2,3670954,32330371
22798,64974,6560,0.01084252,0.13,16061160,55417954
34851,71917,5023,0.00296184,0.15,7423732,54188235
61276,28961,22176,0.00082487,0.05,1463858,32112662
39005,1543,32615,0.00491597,0.27,295887,13588848
76183,4683,19240,4.64E-06,0.01,1655,901079
144598,72139,8363,0.00491597,0.05,51279954,30166384
85564,48183,14904,0.00041097,0.0005,1694343,359072
125395,67952,8623,2.48E-05,0.005,211576,2929901
11152,745,29589,2.48E-05,0.1,206,2205540
31550,50724,12976,0.00163948,0.0005,2623805,329110
76448,44791,6863,0.00019487,0.03,667286,9223264
88444,10744,19829,0.00952101,0.05,9047806,10652769
112740,19250,13288,8.43E-05,0.03,182934,7674115
69965,5853,13059,0.00491597,0.3,2013205,22931883
78795,5877,7737,2.09E-05,0.1,9669,4547744
59138,50684,16287,0.00163948,0.001,4914186,825535
41820,40041,1180,0.00047003,0.001,787085,47266
4773,55994,4582,0.00163948,0.25,438246,64154116
44187,11320,23586,0.00296184,0.13,1481624,34711497
20177,68040,26827,0.00182521,0.0005,2505770,912677
115481,25746,15207,2.48E-05,0.01,73824,3915363
88195,19412,19398,0.02533638,0.17,43377507,64015321
51066,53986,8453,0.00019487,0.005,537230,2281808
140000,46501,3148,0.00015297,0.01,995879,1464115
100288,89204,1783,0.00108175,0.25,9677488,39776332
87793,9394,6423,0.00013363,0.01,110216,603499
49154,1076,2656,0.00370564,0.15,196047,428953
7506,56051,7724,8.43E-05,0.03,35464,12988259
25795,3131,47662,0.00031941,0.0005,25801,74626
8467,62847,9202,0.00860544,0.0005,4579706,289173
109468,27657,8278,0.00952101,0.2,28825598,45793669
2820,49272,43120,0.00082487,0.01,114638,21246442
32543,30495,32769,0.00491597,0.005,4878789,4996561
68066,14841,25947,0.00034241,0.03,345906,11553075
70976,23333,9104,8.43E-05,0.23,139595,48861358
75380,8372,12094,0.02533638,0.13,15990509,13164039
75801,66318,17737,1.65E-05,0.03,82996,35290874
100643,64937,16709,0.00047003,0.03,3071901,32552520
640,5666,47743,0.00082185,0.13,2983,35170330
78093,55075,8058,0.01084252,0.15,46634158,66574409
56663,33460,17843,0.00082487,0.001,1563938,597060
40716,27061,30515,2.09E-05,0.03,23006,24773898
57242,10070,1070,0.00860544,0.13,4960832,1401263
13759,23272,17955,4.34E-06,0.13,1389,54322273
29310,35162,46922,1.65E-05,0.01,17015,16499172
48298,12577,2688,0.00013363,0.13,81173,4396542
60298,12375,17569,0.00047003,0.005,350763,1087188
86511,24105,15843,0.00082487,0.0005,1720192,190958
11214,36208,25882,2.48E-05,0.01,10082,9371688
92415,61420,11901,8.43E-05,0.03,478447,21929349
126840,402,8738,0.01084252,0.1,554149,352093
47743,60383,15690,0.00041097,0.0005,1184810,473735
12511,9534,218,0.00370564,0.2,442072,417278
82786,12309,13252,0.00108175,0.25,1102350,40780908
134155,99141,3406,8.43E-05,0.2,1121085,67545780
94285,6427,15534,4.34E-06,0.27,2630,26959811
126203,34924,4603,0.00160539,0.23,7075882,36975075
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
