lr,lc,rc,ld,rd,lnnz,rnnz
82304,91039,2691,2.48E-05,0.25,186049,61248265
30513,7620,35408,0.00078778,0.01,183179,2698322
18855,14633,21203,0.00031941,0.001,88135,310286
92089,13519,9435,0.00019487,0.27,242616,34441511
74829,80010,7295,2.48E-05,0.005,148660,2918565
6039,47622,7012,0.02533638,0.07,7286947,23377723
36388,95627,7364,0.00491597,0.005,17106416,3521282
134241,10453,3162,0.00370564,0.005,5200280,165312
17566,2079,3115,4.64E-06,0.23,169,1490250
108106,28145,7685,4.64E-06,0.001,14118,216325
37226,90982,7959,8.43E-05,0.005,285486,3621034
72259,61661,7481,0.00082185,0.13,3661854,59967886
48686,5235,19604,0.00370564,0.23,944632,23609110
16504,71270,1301,1.65E-05,0.2,19420,18555714
37783,2457,5584,4.64E-06,0.13,430,1784086
42691,32455,10275,0.00056263,0.05,779562,16674642
130565,34747,4239,0.00108175,0.17,4907772,25041191
87249,47593,1804,0.00056263,0.07,2336329,6013434
30843,30962,21677,0.00108175,0.0005,1033055,335592
82259,48705,969,2.09E-05,0.13,83655,6141362
68720,1692,23056,8.43E-05,0.005,9801,195076
24703,31875,5685,0.00013363,0.23,105224,41684802
18656,39527,10327,0.00491597,0.03,3625376,12246297
145956,36391,3553,0.00182521,0.23,9694647,29743038
17055,7087,4870,0.00160539,0.23,194073,7939860
12567,6343,14341,0.00078778,0.1,62803,9097576
129756,95247,2211,0.00056263,0.1,6953499,21065464
81138,7913,155,0.00047003,0.15,301798,184353
29251,47333,27548,0.00013363,0.05,185024,65199687
83501,85018,18926,4.34E-06,0.03,30810,48273885
146193,58399,3644,0.00031941,0.2,2727011,42568695
91343,69861,8852,0.00013363,0.05,852745,30922588
57286,20033,15377,4.64E-06,0.001,5325,308053
20728,6079,28715,0.00108175,0.3,136325,52374547
63416,41986,25103,0.00952101,0.0005,25351182,527001
103446,35188,6671,4.34E-06,0.2,15798,46953684
22756,78109,1147,0.00296184,0.005,5264769,448111
36992,29651,21152,0.00078778,0.05,864120,31360765
14011,90866,10797,0.00019487,0.05,248109,49054756
55075,72332,28615,0.00163948,0.0005,6531292,1034911
86878,28296,2428,4.64E-06,0.25,11406,17181078
104032,9593,15610,0.02533638,0.07,25287194,10483539
2610,6544,1332,0.00019487,0.27,3328,2354847
87572,1293,9132,2.09E-05,0.27,2365,3189980
61642,12832,11924,0.00160539,0.03,1269878,4590409
58304,19375,8817,0.00296184,0.13,3345875,22208787
2229,3287,36593,0.00078778,0.05,5774,6014862
91657,58549,8109,0.00182521,0.0005,9794994,237392
66120,34125,13276,0.00860544,0.0005,19417282,226536
53417,37184,2407,2.48E-05,0.3,49319,26861164
55999,8262,38211,0.00082185,0.01,380273,3157305
18321,43848,11683,2.48E-05,0.005,19947,2561450
6261,48044,42519,0.00160539,0.03,482917,61285722
818,6825,44022,0.00296184,0.05,16554,15023006
1993,39050,10105,1.65E-05,0.17,1285,67084446
6417,29618,19041,0.00108175,0.03,205625,16919088
122871,4621,2077,0.00952101,0.07,5406900,672044
47194,2451,13335,0.00952101,0.15,1101468,4903302
52238,29982,2113,0.00370564,0.25,5803881,15838908
101590,33746,5906,0.00491597,0.23,16853781,45848461
80041,66374,3602,0.00056263,0.1,2989100,23912231
17983,1419,9803,0.00491597,0.27,125527,3758272
26124,96213,1109,0.00056263,0.005,1414203,533663
60896,81447,25637,0.00031941,0.001,1584216,2088138
147078,7851,943,0.00370564,0.3,4279198,2221240
143383,25145,14058,0.00108175,0.15,3900268,53027494
136534,2744,13501,0.00082185,0.15,307963,5558397
127807,17075,1033,8.43E-05,0.17,183948,2999618
147849,75815,10972,2.48E-05,0.07,278324,58233274
12456,67133,3,2.09E-05,0.01,17461,2074
99114,30819,9747,0.00047003,0.13,1435778,39055336
52370,819,6541,0.00056263,0.17,24156,911674
58241,500,12288,0.00860544,0.2,251004,1230856
4260,71020,26662,0.00108175,0.0005,327353,946788
34990,28276,9870,0.00182521,0.001,1805886,279089
138518,9384,11294,0.00860544,0.2,11186535,21198014
115133,52431,12910,4.34E-06,0.1,26199,67692260
31005,65295,16335,0.00082487,0.01,1669951,10666272
37641,4780,4864,0.00041097,0.005,73947,116261
40406,2013,5631,0.00047003,0.05,38238,566912
11214,4849,16908,1.65E-05,0.03,897,2459906
118377,36733,360,0.00018467,0.15,803019,1988187
149184,32802,10969,2.09E-05,0.1,102179,35983818
68195,39461,13873,0.00034241,0.05,921454,27374065
