lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm_todense,sp_smdm_multiply,sp_smdm,bz_smsm
10989,50321,38931,0.00370564,0.0005,2049349,979550,9295,115313,124608,2228
57938,92797,4044,0.00082185,0.0005,4418738,187676,2225,30584,32809,617
51587,4396,36801,0.00034241,0.3,77654,48535949,1907,34389,36296,58211
45321,51775,12655,0.02533638,0.01,59453366,6552221,13958,1103701,1117659,107567
55458,1869,21986,0.00056263,0.13,58326,5342957,129,11847,11976,12262
6925,56180,1098,2.09E-05,0.27,8124,16663658,295,353,648,269
19813,18748,3922,0.00019487,0.0005,72389,36773,337,1944,2281,21
9914,63011,23906,0.00163948,0.03,1024200,45191197,15538,46377,61915,36642
44995,103,1103,0.00952101,0.15,44508,17191,11,344,355,281
56596,41126,5160,0.02533638,0.15,58973420,31835352,1483,436001,437484,325401
61053,13027,19093,4.64E-06,0.001,3690,248735,1573,9936,11509,21
111981,4814,7238,0.00034241,0.23,184600,8014813,132,9703,9835,22575
87572,1293,9132,2.09E-05,0.27,2365,3189980,62,5434,5496,368
4832,4160,21106,0.00078778,0.1,15837,8780536,842,1514,2356,1994
24798,80576,5509,0.00491597,0.01,9823046,4439011,4578,78202,82780,21304
116755,7237,3140,0.00182521,0.001,1542262,22726,38,12090,12128,228
8493,44883,47501,0.00082487,0.03,314458,63961159,20611,47132,67743,39827
70830,63687,535,8.43E-05,0.3,380231,10222208,267,970,1237,3392
63647,9030,27583,0.00047003,0.15,270165,37364510,1838,38107,39945,86152
49274,16738,36130,0.02533638,0.01,20896544,6047573,7391,1122774,1130165,207544
41674,75027,6344,0.00160539,0.07,5019641,33320412,15766,59855,75621,52410
124178,25379,6314,2.48E-05,0.15,78252,24039543,1554,17434,18988,5415
38498,43479,10082,0.00370564,0.05,6202952,21919171,7184,106437,113621,59241
135968,15954,4402,0.00031941,0.01,692913,702345,351,11201,11552,2085
41579,19913,10607,0.00015297,0.13,126662,27461246,6340,12760,19100,12049
66631,18827,15564,0.00296184,0.05,3715732,14652201,4598,99072,103670,121037
78486,42670,10484,0.01084252,0.15,36312038,67108209,3249,652939,656188,548695
88444,10744,19829,0.00952101,0.05,9047806,10652769,4926,394831,399757,232761
3776,61561,9078,4.34E-06,0.1,1008,55887636,13176,2097,15273,375
943,4905,31098,0.01084252,0.3,50200,45762087,1735,3589,5324,5465
12567,6343,14341,0.00078778,0.1,62803,9097576,906,5991,6897,5593
2115,8578,23285,0.00296184,0.25,53755,49939462,2116,4004,6120,6693
100241,35525,6762,0.00296184,0.17,10547434,40842366,1753,195864,197617,179293
2025,41300,12075,0.00013363,0.03,11177,14961777,4979,2988,7967,423
86541,21127,1814,0.00296184,0.23,5415506,8815955,145,21593,21738,37596
86983,1909,8848,0.00491597,0.13,816611,2196768,67,17111,17178,49049
115481,25746,15207,2.48E-05,0.01,73824,3915363,2604,23157,25761,1021
48298,12577,2688,0.00013363,0.13,81173,4396542,113,1431,1544,2044
117166,9557,9860,0.00296184,0.001,3316667,94243,1183,84615,85798,1453
4775,12413,29093,0.00160539,0.05,95171,18057496,4751,7860,12611,7893
5483,26978,6100,0.00047003,0.2,69535,32918148,1624,2765,4389,3700
59561,33972,8466,0.02533638,0.2,51265861,57527795,2289,683785,686074,637815
51265,6058,36885,0.01084252,0.27,3367862,60341265,1869,199780,201649,392395
62426,61428,2065,0.00031941,0.07,1224865,8882332,420,5973,6393,13819
87965,54659,7034,0.00491597,0.01,23636754,3845096,6551,378726,385277,81460
2386,24754,10514,0.00860544,0.0005,508432,130147,1664,8564,10228,156
76244,65618,5412,0.00018467,0.13,923904,46166594,10641,12556,23197,47839
43656,5941,22673,0.00082487,0.25,213963,33678855,1410,25521,26931,80450
2202,3984,13211,0.00019487,0.001,1710,52645,98,644,742,15
16538,18705,22326,2.48E-05,0.001,7681,417636,2293,5894,8187,31
27813,19015,22846,0.00056263,0.001,297559,434425,2435,17777,20212,397
52370,819,6541,0.00056263,0.17,24156,911674,38,3307,3345,1552
110364,39865,7162,0.00952101,0.005,41889837,1427709,9020,788644,797664,81459
27923,24348,15000,0.00296184,0.17,2013727,62090802,14144,40797,54941,88059
22798,64974,6560,0.01084252,0.13,16061160,55417954,16349,151336,167685,105872
43856,14221,21646,0.00163948,0.13,1022562,40019915,9395,50274,59669,127608
14531,14253,16354,8.43E-05,0.1,17457,23310347,5578,3722,9300,2222
71278,33442,455,0.00019487,0.07,464518,1066898,58,772,830,1064
82684,46229,3825,0.00082185,0.2,3141456,35370324,1666,37829,39495,60664
98758,88572,4156,0.00019487,0.05,1704568,18407905,5357,25809,31166,30473
96851,13715,11653,0.00034241,0.27,454833,43154182,1629,36497,38126,112250
125395,67952,8623,2.48E-05,0.005,211576,2929901,3287,21927,25214,705
37664,20822,5077,0.00952101,0.01,7467040,1057257,176,57713,57889,18162
8331,56088,2304,0.00015297,0.03,71484,3878164,1436,1782,3218,421
14340,37295,22479,0.00018467,0.005,98767,4191890,4628,17623,22251,717
100126,48822,1350,0.01084252,0.005,53002128,329711,124,172916,173040,12699
40201,71349,4284,2.48E-05,0.01,71221,3056802,2018,6077,8095,285
29404,31345,1469,0.00047003,0.2,433219,9215265,216,1465,1681,4867
113202,85712,3811,0.00108175,0.13,10496058,42466021,11914,114484,126398,108084
119452,19854,13858,0.00018467,0.2,437975,55029829,12233,34513,46746,116794
132052,47009,4464,0.00082282,0.1,5107894,20985585,1317,80318,81635,89112
23286,11985,3017,0.00860544,0.27,2401742,9763781,429,8630,9059,17077
122871,4621,2077,0.00952101,0.07,5406900,672044,47,36380,36427,30937
44040,1787,6173,0.00108175,0.15,85179,1655736,53,3345,3398,4854
149033,42485,611,0.00491597,0.005,31126782,129920,390,66657,67047,5463
