lr,lc,rc,ld,rd,lnnz,rnnz
78440,21135,3727,0.00019487,0.13,323064,10242609
26002,68050,2186,0.00296184,0.2,5240909,29764973
45399,14778,46406,0.00019487,0.03,130744,20574160
34830,31973,2944,0.00491597,0.15,5474635,14121715
26763,27520,14286,8.429e-05,0.15,62082,58974952
91959,8974,1835,0.00013363,0.17,110281,2800680
17499,4615,13941,0.00082282,0.15,66464,9653143
25568,59531,2512,0.00031941,0.27,486187,40378168
72441,5725,11588,0.00078778,0.2,326754,13270752
14691,97508,5844,2.483e-05,0.03,35568,17096074
101724,8180,8607,4.34e-06,0.27,3611,19013035
58279,5524,33623,0.00082282,0.01,264943,1857710
82834,11369,4151,0.00031941,0.3,300809,14158734
62944,6960,14363,4.34e-06,0.3,1901,29991403
81463,64934,4308,0.00082185,0.2,4347412,55958559
94510,90102,18784,0.00034241,0.0005,2915829,846255
96131,10258,10683,0.00182521,0.03,1799872,3287676
71512,21054,7677,0.00013363,0.23,201203,37178687
31231,91348,1761,2.483e-05,0.2,70839,32182702
120943,79666,2019,2.483e-05,0.13,239241,20919147
90507,28086,5628,2.088e-05,0.25,53077,39522184
46688,98887,5125,0.00860544,0.05,39730184,25339867
22808,16334,25945,0.00034241,0.15,127574,63572616
80125,18289,14488,0.00019487,0.13,285573,34448616
37217,2159,14635,0.00047003,0.2,37776,6320784
106950,45341,848,0.00031941,0.15,1548906,5772956
43489,7684,34064,0.02533638,0.23,8467357,60208626
145571,8221,5017,0.00952101,0.17,11394612,7012576
42410,6644,27360,1.651e-05,0.001,4652,181786
114135,61065,7580,0.00056263,0.0005,3921373,231465
237,37535,34150,0.01084252,0.0005,96481,640939
110255,60486,4870,0.00013363,0.01,891174,2946246
55990,26136,1948,0.00370564,0.25,5422720,12729717
457,7949,15215,0.00182521,0.23,6630,27820284
49315,21793,9763,4.34e-06,0.3,4664,63830506
35983,16478,5737,0.02533638,0.1,15023062,9454163
55212,29837,4636,0.00015297,0.13,252001,17985505
18933,28294,6716,4.34e-06,0.15,2324,28507043
24466,44814,267,0.00013363,0.17,146515,2041193
99921,4659,10249,0.00018467,0.27,85979,12894908
80260,41946,3703,0.01084252,0.13,36503463,20193845
8716,90858,1654,0.00952101,0.23,7539907,34576194
115027,40772,14035,0.00163948,0.07,7689022,40058565
142611,22477,14518,0.00182521,0.15,5850779,48952450
93023,60108,7761,0.01084252,0.07,60626381,32657122
161,87547,3463,0.00296184,0.23,41834,69747943
137911,94990,1724,0.00056263,0.3,7370641,49145589
35127,50595,4522,0.00018467,0.27,328214,61776708
103332,21169,4683,0.00082185,0.2,1797750,19830356
65853,65146,26853,0.00041097,0.001,1763106,1749372
113823,3903,15385,0.00015297,0.005,67964,300274
144884,49186,7745,0.00019487,0.1,1388706,38099455
131875,64201,3111,0.00015297,0.17,1295140,33960758
136902,49139,861,8.429e-05,0.01,567039,423237
30530,5993,35315,0.02533638,0.2,4636003,42330786
83234,7232,2078,0.00370564,0.2,2230787,3007204
739,796,47748,0.00182521,0.23,1075,8749661
137348,95043,7197,1.651e-05,0.03,215523,20521953
7642,9693,7358,4.64e-06,0.2,343,14266166
13991,26266,3602,8.429e-05,0.2,30977,18924071
21092,20998,12076,0.00082185,0.05,363993,12678978
85179,33024,5305,0.00019487,0.01,548160,1752184
125814,30319,16559,0.00491597,0.07,18752781,35145215
121766,33628,6389,0.00160539,0.23,6573682,49421343
9129,53634,30076,2.088e-05,0.0005,10223,806562
43851,13367,7459,4.64e-06,0.1,2719,9971267
93099,10819,18205,0.00019487,0.15,196290,29545511
45966,14467,21441,0.00013363,0.01,88864,3101974
145443,18469,11758,2.088e-05,0.25,56090,54294374
91689,86862,4300,0.00018467,0.05,1470785,18676290
55247,29771,3139,0.00108175,0.15,1779247,14018215
63160,81379,1265,8.429e-05,0.0005,433242,51496
48660,11826,8224,0.00108175,0.25,622514,24316695
82924,12026,12168,0.00370564,0.07,3695702,10244641
149805,99,5560,0.00031941,0.23,4764,127350
38129,79500,15134,0.00108175,0.03,3279115,36095359
47051,9553,21905,0.00952101,0.13,4279840,27206659
55647,82377,6346,0.00952101,0.07,43645179,36597767
64425,34907,3399,0.00056263,0.001,1265302,118653
61062,89944,1467,1.651e-05,0.27,90677,35635299
104320,25923,7980,0.00296184,0.3,8009911,62065116
56265,2514,7997,0.00952101,0.001,1346830,20107
99024,65070,9330,0.00082487,0.05,5315169,30357607
104435,28921,1033,0.00296184,0.07,8945937,2091436
53764,19413,8837,4.34e-06,0.27,4530,46325994
93805,4445,11887,0.00082185,0.27,342685,14266412
55066,9903,1150,0.00491597,0.25,2681034,2848531
61294,10390,27373,0.00108175,0.01,688962,2844304
59127,76491,25768,0.00160539,0.03,7260752,59132460
7047,39722,46068,2.483e-05,0.005,6950,9149730
19139,97845,1855,0.00018467,0.27,345829,49032126
5705,60167,17050,0.00031941,0.05,109651,51293194
78835,8485,11796,0.00013363,0.13,89396,13012967
30233,50,36687,0.00041097,0.2,623,368375
148722,3459,12602,0.00160539,0.005,825990,217985
562,26074,20443,0.00182521,0.01,26790,5330525
85241,52069,20080,0.00047003,0.0005,2086220,522794
91068,36892,9887,0.00019487,0.17,654721,62009209
12708,4739,32500,0.00296184,0.001,178395,154034
149212,11247,9300,0.00952101,0.05,15978347,5230393
15806,14405,24699,0.00182521,0.13,415616,46255917
11785,26938,2452,0.02533638,0.25,8044156,16513409
142802,61789,4429,0.00082282,0.2,7260351,54737872
66110,25217,19090,0.00078778,0.07,1313344,33699722
22885,32632,48137,0.00296184,0.01,2211964,15708650
53648,85191,1108,0.00056263,0.07,2571436,6611331
125212,27067,8814,8.429e-05,0.03,285671,7157306
27687,36593,2551,8.429e-05,0.2,85400,18674776
85096,36909,12010,0.00018467,0.001,580019,443305
90170,65740,23089,0.00041097,0.01,2436152,15178990
57659,54503,2620,4.64e-06,0.03,14581,4285260
127765,56560,3594,2.483e-05,0.27,179432,54888483
32610,64880,5293,0.00034241,0.2,724480,68695272
104873,41421,1246,0.00370564,0.17,16097437,8777436
28187,74793,28391,8.429e-05,0.01,177701,21235008
23100,39601,11549,0.00056263,0.01,514697,4573643
110885,7643,18286,0.00015297,0.05,129654,6988963
137824,9761,7258,0.01084252,0.23,14587746,16297131
16795,59709,14797,4.64e-06,0.03,4653,26506486
32175,74881,1268,0.00182521,0.13,4397609,12345147
125275,33560,1778,0.00031941,0.17,1342888,10146166
71806,33272,16091,0.00015297,0.0005,365476,267696
93675,90244,19796,0.00370564,0.0005,31326535,893258
92194,70091,3593,0.00015297,0.25,988499,62974446
28516,6016,38622,0.00370564,0.27,635743,62737457
21530,43217,34902,0.00041097,0.005,382408,7541994
18801,50686,4737,0.00182521,0.0005,1739376,120073
53805,58695,3854,0.00370564,0.15,11703025,33936600
62130,10929,25485,4.64e-06,0.25,3150,69633419
29454,48118,19682,4.64e-06,0.005,6576,4735521
32995,5258,32435,0.00047003,0.1,81560,17057861
73596,9471,1258,0.00370564,0.17,2582937,2025622
94671,2383,3741,0.00078778,0.03,177779,267526
107902,28496,4305,0.00491597,0.001,15115594,122684
139301,55056,14064,0.00041097,0.01,3151917,7743518
19269,4237,9352,0.00952101,0.3,777479,11889456
38308,10923,3287,0.00013363,0.27,55919,9695056
17020,91220,16237,0.00015297,0.01,237498,14812076
100773,12589,4436,0.00047003,0.23,596333,12847113
44107,21107,2004,0.00018467,0.27,171924,11421890
47889,7958,31983,0.00034241,0.05,130508,12727428
31448,92958,3829,0.00047003,0.005,1374076,1779996
942,11068,15246,0.00041097,0.23,4289,38813549
69212,2554,5870,4.34e-06,0.25,767,3749227
