lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
37277,6335,8305,0.00015297,0.2,36129,10524778,182,5402,5584,4022,131,6577
122335,65522,2027,0.00041097,0.25,3294205,33216643,1439,31856,33295,50312,437,47826
88648,49392,11945,0.00296184,0.005,12968430,2949991,5332,339996,345328,53227,2583,908915
106348,17623,17965,0.00491597,0.13,9213441,41159621,20738,450878,471616,412629,1615,1040685
58019,54547,17077,0.00108175,0.07,3423537,65207439,16438,117021,133459,167477,4597,346210
133764,1840,9040,0.00078778,0.15,193897,2495264,67,12577,12644,18996,48,22902
132278,48224,8077,0.00047003,0.15,2998367,58429137,2873,91196,94069,174315,1986,179515
17639,14561,16707,0.00160539,0.13,412379,31628398,7600,23214,30814,36391,847,40532
87003,95285,15346,0.00182521,0.0005,15131430,731149,8915,518363,527278,7771,8429,1384577
134987,39791,9266,0.00018467,0.13,991923,47932957,10982,43903,54885,101564,1890,94968
32231,80720,577,0.00160539,0.3,4176859,13985604,184,3975,4159,6960,194,13110
68306,38201,16043,0.00082282,0.03,2147067,18386741,6560,65256,71816,71795,2871,203576
71595,49258,560,0.00082185,0.13,2898403,3589833,295,3019,3314,6040,121,9778
80348,24008,14712,2.48e-05,0.13,47897,45919803,10382,29203,39585,7599,10193,35508
105970,16771,5723,0.01084252,0.2,19270355,19197223,930,289737,290667,206628,203,669562
49255,32636,13889,0.00491597,0.03,7902553,13599335,6269,178259,184528,93289,2125,577927
8481,44708,6048,0.00078778,0.23,298728,62197325,2114,5911,8025,8077,1404,13311
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,18659,33173,737,21563
66341,87385,9302,1.65e-05,0.07,95713,56904020,14085,33930,48015,6221,13112,40835
7297,11850,43501,0.00160539,0.03,138831,15465088,5091,15784,20875,17138,5266,23733
109258,67641,5832,0.00013363,0.13,987586,51286831,17851,36256,54107,59694,937,49397
9314,7419,13478,0.00163948,0.2,113298,20000240,972,3179,4151,17268,403,9750
