lr,lc,rc,ld,rd,lnnz,rnnz
15470,75635,1133,0.00031941,0.005,373743,428835
5365,30191,3792,0.00160539,0.3,260079,34353096
18337,67777,30925,0.00108175,0.001,1344487,2096037
125208,34477,3717,0.00013363,0.13,576858,16660465
81612,44542,16005,0.00047003,0.001,1708656,712896
537,70536,2926,0.01084252,0.27,411354,55732530
51804,6135,25436,0.00860544,0.23,2735320,35896043
86240,69658,3441,0.00041097,0.15,2468836,35956505
121945,13377,17021,0.00108175,0.03,1764709,6831334
22398,6240,49264,0.00082185,0.005,114884,1537271
14351,18745,28224,0.00041097,0.1,110560,52906608
142076,26111,11396,0.00018467,0.2,685100,59519231
84485,72006,12272,0.00952101,0.05,57921476,44185276
118751,24731,6160,2.48E-05,0.15,72924,22852551
124055,10834,988,0.00860544,0.001,11566592,10707
18981,30484,32555,0.00019487,0.01,112760,9924419
93090,8666,2079,0.00860544,0.13,6942691,2342811
75373,75770,27148,0.01084252,0.03,61922222,61711498
132693,16365,15498,8.43E-05,0.13,183046,32974762
103966,61623,2157,0.00860544,0.2,55133257,26585413
39262,34743,24172,2.09E-05,0.005,28482,4199203
74396,13149,27576,0.00082487,0.0005,806926,181302
117789,12860,13427,8.43E-05,0.23,127690,39719042
36733,84913,2149,0.00034241,0.15,1068027,27379976
28762,42239,4196,0.00078778,0.13,957076,23042561
133983,43990,3138,2.09E-05,0.13,123067,17949008
88105,62160,2249,0.00013363,0.07,731855,9786232
2109,51198,21520,0.00015297,0.0005,16521,550916
1688,61691,32189,0.00491597,0.01,512096,19858201
38363,2948,21185,0.00860544,0.15,973348,9369239
91816,29693,23243,0.00082487,0.0005,2248897,345085
117262,73799,10245,0.00296184,0.0005,25631366,378061
27028,3240,35487,0.00491597,0.23,430623,26453458
31818,57560,26117,0.00860544,0.0005,15760932,751672
42817,507,7814,0.00491597,0.01,106721,39622
86541,21127,1814,0.00296184,0.23,5415506,8815955
29359,1521,48725,0.00082185,0.15,36716,11121685
100503,15027,9655,4.34E-06,0.01,6554,1451041
