"lr","lc","rc","ld","rd","lnnz","rnnz"
134462,59991,2816,0.00078778,0.2,6354697,33794238
53717,4080,706,0.00018467,0.13,40479,374698
145210,894,1442,0.02533638,5e-04,3291312,645
12197,17639,17630,0.02533638,0.1,5451309,31099928
41930,1529,5625,0.00860544,0.3,551830,2581131
50653,46599,5304,4.64e-06,0.27,10952,66743203
50033,54398,36613,0.02533638,0.03,68958529,59750789
68323,17963,12453,0.00018467,0.27,226650,60399836
50160,2046,16841,2.483e-05,0.23,2548,7927295
74525,54976,3549,0.00182521,0.3,7478140,58540190
134433,99411,14391,0.00108175,0.001,14456768,1430672
23746,12391,19387,2.483e-05,0.01,7306,2402557
8258,20129,26729,0.00041097,0.05,68319,26902087
138887,59768,4843,4.64e-06,0.15,38516,43423988
14085,71596,14670,0.02533638,5e-04,25550454,525173
31533,55530,22029,0.00860544,0.03,15068673,36699806
101144,10729,7105,0.00491597,0.001,5334726,76239
142091,16,13616,0.02533638,0.3,59751,67798
17433,52364,6410,0.00860544,0.15,7855726,50353161
55701,64116,18011,0.00013363,0.05,477247,57740880
5746,1120,49751,0.00082282,0.23,5297,12820209
7668,61377,2697,0.00018467,0.13,86924,21526939
118822,42997,2741,0.01084252,0.13,55394772,15323632
72551,30610,29478,8.429e-05,0.001,187192,902344
95788,27269,304,8.429e-05,0.2,220174,1660649
86602,32294,5606,0.00160539,5e-04,4489957,90523
60545,12592,35410,0.00082487,0.005,628917,2229592
51401,560,28851,0.00015297,0.17,4409,2750923
16143,20152,13464,2.483e-05,0.07,8077,18993633
42275,98515,9368,0.00047003,0.01,1957571,9229122
36145,50276,30542,0.00082185,0.01,1493539,15356031
52970,22633,12372,4.64e-06,5e-04,5562,140020
117550,5581,5322,0.00078778,0.2,516849,5941783
75607,58798,6487,4.64e-06,0.005,20627,1907407
50111,331,40504,0.02533638,0.3,420675,4026175
41850,43297,13549,0.00018467,0.07,334627,41065171
53366,12434,10781,0.00952101,0.23,6317917,30832585
76638,76423,25747,0.00041097,5e-04,2407025,983839
93130,92135,529,4.34e-06,0.17,37240,8299544
9636,11555,34715,0.00163948,0.1,182559,40116070
120284,54055,16023,0.00015297,0.07,994621,60632161
7789,31392,43398,0.00160539,0.05,392571,68117881
124829,91759,8090,0.00047003,0.005,5383896,3712061
34,98795,1123,0.02533638,0.27,86969,29974635
67712,54959,9025,0.00082487,0.1,3069728,49604741
99585,48276,7069,4.34e-06,0.005,20865,1706391
103018,24347,2488,0.00082282,0.3,2063868,18178591
