lr,lc,rc,ld,rd,lnnz,rnnz
24002,17648,36729,0.00860544,0.07,3645397,45376278
21864,39966,4404,1.65E-05,0.0005,14427,88009
78276,58538,5774,4.34E-06,0.1,19886,33803538
65310,69547,1915,2.09E-05,0.05,94840,6660472
68616,10411,10204,2.09E-05,0.1,14916,10624426
72170,79998,13609,0.00160539,0.0005,9268764,544386
21532,81699,7685,0.00491597,0.1,8648262,62792595
43659,33119,48908,0.00163948,0.01,2370629,16198144
33610,1747,37338,0.00078778,0.23,46269,15006912
1124,7576,28365,0.01084252,0.25,92369,53730391
115891,12479,6178,0.00019487,0.13,281825,10023210
149041,70397,1237,8.43E-05,0.27,884381,23525377
47457,20690,17510,0.00108175,0.01,1062201,3623009
67748,60721,16552,2.48E-05,0.0005,102145,502546
53656,19156,21972,0.00015297,0.05,157232,21046158
24388,19059,28016,0.00034241,0.005,159163,2669929
72463,10502,25705,1.65E-05,0.15,12564,40495099
83945,1242,5314,0.00019487,0.03,20332,198172
1404,69360,19739,0.00013363,0.03,13013,41073389
545,37003,33487,0.00041097,0.001,8303,1239169
67288,85107,1419,0.00163948,0.13,9388911,15701619
32418,28254,29437,0.00082185,0.01,752774,8317392
74131,8372,8229,0.00031941,0.0005,198257,34451
19408,14372,11303,0.00018467,0.03,51513,4873769
56015,27541,7385,0.00082282,0.23,1269416,46784233
111981,4814,7238,0.00034241,0.23,184600,8014813
28031,61019,8938,0.00491597,0.0005,8408673,272724
26480,34946,4680,0.00163948,0.17,1517152,27806926
34871,78138,22239,2.48E-05,0.0005,67656,868880
59764,39763,35497,4.34E-06,0.01,10313,14115120
79218,6698,19032,4.64E-06,0.13,2462,16574430
148767,20291,8074,0.00018467,0.2,557472,32769080
108251,6926,14586,0.00182521,0.13,1368620,13135350
57684,35460,6461,0.00108175,0.3,2212754,68734046
9956,707,25665,0.00082282,0.03,5794,544628
102475,29527,452,0.00031941,0.27,966493,3610397
139169,50831,2641,4.64E-06,0.001,32824,134287
23076,30491,22041,0.00047003,0.1,330732,67207515
28788,17217,6105,1.65E-05,0.27,8183,28382988
62141,90372,1590,0.00860544,0.17,48327624,24441538
115408,19617,3765,0.00082185,0.15,1860650,11079231
41513,19863,3145,0.00082185,0.3,677708,18746256
136527,4440,13523,0.00160539,0.0005,973208,30023
40858,17665,476,8.43E-05,0.13,60839,1095272
51587,4396,36801,0.00034241,0.3,77654,48535949
10147,32980,2077,2.48E-05,0.2,8309,13704913
125119,81105,4355,0.00108175,0.15,10977483,52990170
119766,14495,4523,2.48E-05,0.27,43108,17703183
