lr,lc,rc,ld,rd,lnnz,rnnz
66290,24125,19757,0.02533638,0.1,40519837,47664976
112789,75592,13985,0.00160539,0.001,13687629,1057185
62959,45439,3122,0.00013363,0.15,382295,21285947
29289,17961,2473,0.00015297,0.17,80477,7552502
137068,27216,11831,0.00860544,5.00E-04,32102845,161004
5130,4127,9583,1.65E-05,0.3,349,11868334
57586,42254,5994,0.00018467,0.27,449355,68387121
72836,18003,7852,8.43E-05,0.23,110530,32516709
37709,51490,41417,0.00047003,0.001,912642,2132592
83868,26049,7522,0.00163948,0.01,3581787,1959564
39198,8880,18692,0.00082282,0.03,286431,4980086
35066,69108,12033,0.00047003,0.01,1139071,8315931
1177,34423,1460,0.00370564,0.25,150237,12568576
143809,14153,5434,1.65E-05,0.25,33605,19227998
103319,5051,13150,0.00860544,0.3,4491734,19930221
111764,44080,11108,0.00952101,5.00E-04,46906605,244837
15185,16857,14088,0.00108175,0.13,276910,30874305
34078,13498,15244,0.00082185,0.3,378073,61736291
29030,47789,39365,0.00160539,5.00E-04,2227227,940643
72821,10391,23025,0.00860544,0.23,6512107,55033757
50382,17360,19916,0.00952101,0.17,8327754,58780921
122422,20029,6729,0.00163948,0.13,4020015,17523235
15889,21154,6646,0.00078778,0.13,264803,18278761
50368,22185,3319,0.02533638,0.05,28311998,3682307
91494,48540,2618,0.00031941,0.17,1418554,21608357
130569,77695,7092,0.00015297,0.1,1551818,55103992
20744,3322,5307,0.00041097,0.2,28321,3526295
143792,34348,7669,2.48E-05,0.15,122635,39513031
39137,6240,28888,0.00952101,0.005,2325291,901353
62336,9506,2310,4.34E-06,0.27,2571,5930822
132321,60159,2551,0.00015297,0.27,1217700,41437777
81058,53367,854,0.00041097,0.25,1777803,11401674
89596,927,18117,0.00031941,0.1,26537,1680047
21340,2626,8188,0.02533638,0.2,1420076,4301406
141420,63567,13255,0.00160539,0.001,14432037,842601
148001,14506,558,4.64E-06,5.00E-04,9961,4050
7253,10685,29729,2.09E-05,0.2,1618,63536067
68944,84045,621,0.00296184,0.13,17162215,6785452
107046,30275,2867,0.00078778,0.23,2553083,19970595
29952,67121,19215,0.00041097,0.001,826238,1289783
48690,11261,7674,0.00078778,0.005,431960,432140
91322,99792,4580,4.64E-06,0.03,42285,13713504
76097,22932,3070,0.00163948,0.2,2861091,14084624
76868,12356,2850,0.00296184,0.2,2813327,7045896
69740,33924,9927,8.43E-05,5.00E-04,199423,168391
27159,28308,12213,0.02533638,0.005,19479348,1728715
60976,1957,29003,0.00018467,0.2,22037,11352313
39905,87610,16279,2.48E-05,0.01,86808,14262570
108810,25150,6115,0.00082282,0.23,2251747,35377566
6489,87581,21310,0.00182521,0.001,1037340,1866450
18431,19696,22282,4.34E-06,0.1,1575,43887360
52409,5847,19537,4.64E-06,0.13,1422,14853441
57708,41330,9214,0.00078778,0.001,1878937,380820
131995,41171,3206,2.48E-05,0.05,134938,6599987
41793,19571,35150,0.00031941,0.01,261261,6879430
28485,9338,11793,2.48E-05,0.01,6604,1101283
132212,42516,11029,0.00108175,0.05,6080732,23446110
113675,52300,5701,0.00952101,0.15,56605444,44727890
794,22994,4277,0.00082282,0.27,15040,26559485
59833,39153,20225,0.00018467,0.01,432626,7919017
117436,97881,12215,0.00041097,0.03,4724035,35869358
3692,29441,3504,0.00031941,0.1,34726,10319134
140170,71156,4717,0.00108175,0.15,10789523,50355420
42274,24478,29883,0.00013363,0.01,138282,7315027
79184,44802,9470,0.00108175,5.00E-04,3837704,212153
13506,33783,39490,0.00018467,0.001,84263,1334112
58985,2710,17358,0.00163948,0.15,262119,7057562
81805,86641,8148,0.00182521,0.005,12936666,3529926
52719,93001,2395,0.00013363,0.1,655186,22274593
114381,33960,3173,1.65E-05,0.001,64132,107771
49903,40376,4143,0.00082282,0.13,1657916,21750182
31738,70803,6692,0.00082487,0.13,1853661,61604033
26755,46884,1269,0.00013363,0.01,167629,595341
56995,96557,18799,0.01084252,0.001,59670463,1815248
3097,28991,5058,0.00056263,0.27,50523,39597830
144538,4072,10049,0.00015297,0.03,90043,1227858
37066,7082,13961,4.64E-06,0.3,1218,29663593
131269,41024,932,8.43E-05,0.3,453920,11470777
2893,3300,16689,0.00182521,0.25,17430,13769999
90191,40864,487,0.00108175,0.3,3986914,5980684
41805,7731,22799,0.00082185,0.15,265643,26442014
37257,23109,17397,0.01084252,0.13,9335353,52266242
95304,31805,6093,0.00056263,0.07,1705422,13565699
22411,5745,7735,0.00108175,0.25,139282,11110405
293,10748,3056,0.02533638,0.25,79894,8213582
15498,53267,4783,0.00031941,0.27,263697,68796263
5444,58822,35254,0.00163948,5.00E-04,525006,1036860
98511,1337,14247,2.48E-05,0.23,3270,4381921
144031,5325,4449,0.00108175,0.25,829686,5923305
116594,21426,14812,0.02533638,0.2,63296847,63478289
55105,92861,11797,0.00078778,0.001,4031228,1095490
117097,20623,324,0.00031941,0.01,771343,66822
93741,33714,7607,0.00034241,0.25,1082153,64117075
92845,26091,14384,0.00491597,0.17,11908592,63802955
43478,54652,71,0.00860544,0.07,20448387,272559
67010,71928,2432,0.00108175,0.2,5213955,34994402
10981,13613,4014,0.00296184,0.07,442808,3825360
57054,7655,1419,0.00860544,0.3,3758730,3260674
90005,54321,930,4.64E-06,0.2,22686,10104966
1436,76760,469,4.34E-06,0.2,478,7209405
70094,69755,7157,0.00047003,0.13,2298232,64902938
46810,20209,7305,2.09E-05,0.05,19753,7382016
103258,24367,4018,0.00860544,0.2,21652704,19582519
50974,3249,25119,0.02533638,0.2,4197124,16326410
128437,38730,7093,0.00860544,0.25,42807238,68687033
51722,83265,13734,0.00491597,0.03,21171449,34308146
130841,4672,8530,8.43E-05,0.3,51527,11956852
28030,81566,534,0.00078778,0.27,1801106,11779610
999,43884,7288,0.00019487,0.2,8551,63975109
75403,27032,20943,0.00041097,0.01,837690,5661448
107618,4433,17680,0.00047003,0.3,224287,23518155
53505,34171,22279,0.00082282,0.07,1504425,53293586
49612,71272,9174,0.00860544,0.07,30428958,45774939
60368,61511,7846,0.00860544,0.03,31954840,14480051
142093,29970,9909,0.00015297,0.15,651449,44550512
125511,1997,10061,0.00015297,0.13,38354,2612854
74514,98434,18999,0.00163948,0.001,12025227,1870173
80266,51395,1987,0.00296184,0.15,12218492,15319279
111752,41926,4901,2.48E-05,0.2,116338,41101985
62833,21520,8756,0.02533638,0.07,34259905,13190742
83585,50350,2689,0.00041097,0.15,1729610,20313906
122765,3331,3167,0.01084252,0.25,4433881,2637490
67892,49137,322,0.00078778,0.07,2628108,1107977
124316,13167,1761,0.00160539,0.2,2627956,4640142
105980,1411,6875,0.00160539,0.05,240217,485363
53517,79168,10796,0.00034241,0.001,1450756,854742
7101,12883,1954,0.00082487,0.27,75468,6797496
80014,55887,3025,0.00019487,0.25,871410,42276252
121751,65319,8148,4.64E-06,0.03,36900,15968540
119092,27895,4767,0.00047003,0.13,1561501,17287913
63036,52656,1271,0.00013363,0.23,443557,15401014
80239,69626,9487,2.09E-05,0.05,116652,33030105
27111,2704,24449,0.00078778,0.27,57767,17854772
47755,19834,17438,0.00082282,0.01,779377,3458814
70784,11735,6306,1.65E-05,0.13,13715,9621028
24465,32549,4039,0.02533638,0.2,20176242,26294033
78427,25461,2733,0.00491597,0.2,9816755,13919981
56388,63815,12153,2.09E-05,0.05,75135,38779481
17137,23657,9442,0.00078778,0.07,319385,15637591
129457,34605,6901,2.09E-05,0.005,93540,1194186
82458,47961,20138,0.00034241,0.07,1354192,67613202
65085,194,14531,0.00082282,0.2,10404,564606
43434,34609,41059,0.00041097,0.01,617782,14210448
32428,9964,35659,0.00013363,0.15,43181,53300736
