lr,lc,rc,ld,rd,lnnz,rnnz
65676,25327,1375,0.02533638,0.05,42144908,1741457
430,55767,14261,0.00296184,0.001,71089,795349
83833,49466,3653,2.48E-05,0.0005,102970,90355
12043,6714,32960,0.00296184,0.13,239509,28770824
1622,19034,32653,0.00163948,0.05,50632,31077025
132145,40855,5630,0.00018467,0.2,997001,46007082
46485,42407,21662,0.00047003,0.03,926600,27560300
121198,86511,4957,0.00041097,0.05,4309069,21446155
62231,61412,14572,0.00491597,0.03,18787935,26848702
79749,80636,3354,0.00056263,0.001,3618120,270513
16921,72588,4704,0.00031941,0.07,392332,23904708
41555,134,37580,0.00015297,0.13,857,658823
2916,6741,27123,0.00296184,0.25,58228,45714593
58957,41339,3907,0.00078778,0.3,1920038,48454840
104742,15880,11544,1.65E-05,0.005,27461,916622
118623,99373,1043,2.48E-05,0.01,292696,1036543
97226,58013,7015,0.00082185,0.17,4635643,69187736
21099,31617,9736,0.00056263,0.17,375334,52333468
98789,10178,12262,0.00182521,0.15,1835317,18722601
32790,3677,40178,0.02533638,0.001,3054851,147735
129363,74682,13551,8.43E-05,0.005,814341,5060391
97998,1538,1573,8.43E-05,0.0005,12706,1210
53608,45545,17258,0.00034241,0.03,836029,23580758
55215,13208,34904,0.00078778,0.13,574524,59933364
3212,1914,13103,0.00163948,0.15,10084,3763532
121623,16092,12665,0.00018467,0.27,361440,55029056
45030,9454,12818,0.00013363,0.3,56893,36357891
52283,26742,626,0.00078778,0.03,1101445,502233
15928,28345,1595,0.00078778,0.13,355676,5878490
3821,30768,2304,0.00019487,0.2,22911,14178786
96217,20659,3494,0.00082487,0.17,1639718,12274312
91437,47847,5000,0.00860544,0.0005,37649663,119631
136830,30630,1172,0.00160539,0.27,6728567,9698574
9302,32287,11818,0.00370564,0.13,1113044,49604646
87839,12265,14920,0.00160539,0.17,1729583,31109701
110829,22660,5334,4.34E-06,0.3,10899,36261856
55798,24080,9815,0.00015297,0.17,205538,40181043
69370,35052,9856,0.00491597,0.15,11953773,51827089
27736,2131,46161,8.43E-05,0.2,4983,19679440
106917,88466,19494,0.00041097,0.0005,3887182,862307
137905,14334,8858,4.64E-06,0.3,9172,38096629
18531,48565,35069,0.02533638,0.005,22802599,8515856
74122,1856,10040,0.00860544,0.17,1183923,3168172
87224,13259,12207,0.01084252,0.25,12540033,40466567
50026,58823,1647,4.34E-06,0.17,12771,16475252
47500,15849,17356,0.00034241,0.15,257787,41263935
62034,5053,5725,0.00018467,0.07,57886,2025075
55380,21334,10014,8.43E-05,0.3,99589,64096610
59716,2755,24572,0.00860544,0.15,1416179,10157712
45200,40348,40505,0.00047003,0.01,857223,16343251
44268,67307,1562,0.00160539,0.17,4783385,17878261
57203,15027,17392,0.00163948,0.01,1409339,2613665
9119,3325,38376,0.00491597,0.1,149082,12762284
75882,74665,1978,0.00018467,0.005,1046310,738803
65680,64231,9172,4.64E-06,0.001,19574,589141
41350,55930,7181,0.00047003,0.17,1087053,68281989
35142,39397,39842,0.00078778,0.001,1090698,1569720
122540,5378,974,2.09E-05,0.13,13762,681479
42794,30064,1487,0.00078778,0.13,1013556,5812291
73130,13360,4775,0.00034241,0.13,334561,8295194
94461,12246,11257,0.00370564,0.03,4286795,4135977
77684,96641,2459,4.64E-06,0.13,34834,30894253
121750,26724,8862,0.00034241,0.23,1114125,54473574
61402,25014,3871,0.00296184,0.17,4549233,16462064
137986,79354,1736,0.00013363,0.23,1463227,31694437
28013,51103,884,0.00013363,0.1,191299,4519291
50845,20833,5480,0.00015297,0.05,162041,5709147
18467,86285,3596,8.43E-05,0.0005,134313,155160
130499,25994,13770,0.00952101,0.15,32298365,53696555
2412,93833,4582,0.00860544,0.001,1948177,430034
31310,68508,7273,0.00160539,0.03,3443610,14949450
44407,1038,2126,0.00056263,0.25,25948,552063
20643,88388,483,0.00370564,0.15,6761638,6408724
49080,79670,6548,2.09E-05,0.05,81646,26087915
101959,68592,5415,1.65E-05,0.05,115464,18571756
100104,62123,5313,0.00082185,0.2,5110944,66013871
71768,35851,2122,0.00078778,0.17,2026935,12932959
11145,61041,10569,2.48E-05,0.0005,16893,322603
8422,2794,10762,0.00013363,0.23,3145,6918111
84276,4715,16488,1.65E-05,0.15,6560,11661820
6014,52523,10280,0.00160539,0.005,507132,2699851
27603,7476,19782,2.48E-05,0.001,5124,147907
109416,797,14658,4.34E-06,0.27,378,3155629
37357,27065,14796,2.09E-05,0.15,21111,60070715
51619,55535,3452,0.00160539,0.23,4602197,44100258
63315,24709,12411,0.00019487,0.13,304876,39868930
68281,31489,4083,0.00082487,0.17,1773626,21860641
46221,88309,13563,0.00013363,0.03,545456,35932893
89927,32750,23007,0.00082487,0.03,2429362,22604746
82034,24502,18807,0.00034241,0.13,688273,59907542
127382,6941,9461,0.01084252,0.3,9587638,19704484
67722,5135,2092,0.00952101,0.27,3311424,2901190
64510,34855,5729,0.00015297,0.23,343964,45930478
16486,90603,2997,0.00047003,0.1,702081,27157189
9622,33291,2070,0.01084252,0.15,3473335,10339046
33287,92983,5814,2.48E-05,0.03,76852,16219706
31262,79305,21267,4.34E-06,0.03,10760,50599464
88303,56430,4545,0.00047003,0.2,2342144,51302029
1486,18877,33625,0.00018467,0.07,5180,44433119
135967,10080,10413,1.65E-05,0.01,22628,1049704
142741,24034,10450,0.00370564,0.17,12712772,42697752
30829,64414,9818,1.65E-05,0.0005,32786,316215
84770,49005,7457,2.48E-05,0.005,103150,1827220
121970,13456,7909,0.00108175,0.23,1775452,24480614
72909,22055,2758,0.00491597,0.15,7905170,9126877
61038,49406,1689,0.00182521,0.15,5504310,12519512
46921,57175,8802,1.65E-05,0.13,44292,65427227
5129,23244,39397,0.00034241,0.07,40825,64103138
20834,19969,8096,0.00034241,0.07,142462,11317752
57274,65956,727,0.00163948,0.15,6193415,7195125
40702,4503,27135,4.64E-06,0.005,850,611081
119791,53066,2016,0.00078778,0.2,5007840,21404087
51791,8301,33131,0.00047003,0.001,202097,275059
69937,28828,8231,0.00296184,0.15,5971629,35594195
55670,10114,11273,0.00034241,0.17,192801,19384508
44905,5079,44079,2.09E-05,0.27,4762,60456677
87145,18817,15298,0.00078778,0.2,1291870,57576675
42358,1545,43596,0.00041097,0.17,26912,11457708
39960,17302,6387,2.48E-05,0.3,17167,33156202
85744,91415,11941,0.00015297,0.01,1199027,10916720
35513,22874,19107,8.43E-05,0.07,68471,30594659
91361,15405,12559,0.00163948,0.25,2307512,48371668
84096,5933,7092,0.00160539,0.0005,801060,21040
120262,54791,8400,4.64E-06,0.1,30574,46029479
32743,9292,4498,0.00952101,0.25,2896830,10450745
51324,76261,25970,0.00160539,0.0005,6283648,990289
74779,12795,16860,0.00082282,0.0005,787312,107870
61098,74320,4660,0.00160539,0.17,7289784,58888219
16127,34508,3693,0.00031941,0.3,177763,38238460
14906,32521,4811,0.00018467,0.3,89526,46940567
117717,35871,4375,0.00108175,0.25,4567944,39236973
16831,8950,30699,0.02533638,0.001,3817101,274785
19398,2654,32003,0.00160539,0.01,82660,849453
62354,19841,30471,0.00082185,0.03,1016793,18137756
18597,13550,8933,0.00491597,0.2,1238885,24210884
85488,57229,3772,0.00013363,0.2,653784,43185151
35671,13980,17161,0.00952101,0.27,4748026,64777267
66817,23681,774,1.65E-05,0.15,26123,2749902
8696,87181,216,0.00082185,0.27,623142,5086240
4902,79062,3220,2.48E-05,0.25,9623,63645552
100937,3616,1100,0.02533638,0.2,9247947,796255
131131,8296,6859,0.00952101,0.05,10358726,2845498
50537,43580,24775,0.00491597,0.0005,10827216,539863
12554,20031,26171,0.00182521,0.13,458991,68153165
14916,53013,942,0.00034241,0.17,270765,8498476
15679,95372,3457,8.43E-05,0.0005,126044,164854
7209,6142,11641,0.00082185,0.15,36395,10725877
39309,79575,21109,0.00018467,0.0005,577655,839904
30087,19688,25389,0.00860544,0.07,5097651,34991512
9119,85514,1844,0.00182521,0.27,1423468,42586781
18161,7496,37300,4.34E-06,0.03,590,8388138
52677,18697,13665,0.00296184,0.17,2917240,43435949
26040,74102,3049,0.00370564,0.17,7150586,38421390
144060,16953,2655,0.00296184,0.0005,7233594,22507
4599,10298,28738,0.00015297,0.001,7246,295970
39614,35927,14469,0.00034241,0.001,487345,519855
7536,40506,22292,4.34E-06,0.05,1324,45149869
84425,76168,8019,8.43E-05,0.01,542035,6108383
46537,42824,2696,8.43E-05,0.2,167988,23094084
128101,1547,1141,0.00082282,0.13,163155,229765
44714,11303,28712,0.00370564,0.07,1873022,22719213
41862,67947,15504,2.09E-05,0.001,59392,1053507
24386,41333,9537,0.00078778,0.07,794066,27595587
15665,43336,17096,0.00082282,0.05,558605,37046321
79226,11460,6868,0.00078778,0.3,715283,23614483
33180,25333,22144,0.00031941,0.005,268490,2805049
19270,9863,46311,2.09E-05,0.0005,3968,228405
99093,47583,18121,0.00031941,0.07,1506103,60360944
11145,17362,34761,0.00018467,0.0005,35736,301769
36910,17070,11122,0.00108175,0.25,681584,47465647
1165,13496,15813,0.00082185,0.3,12925,64028078
118685,62234,12948,0.00034241,0.01,2529164,8058294
146383,66318,5021,0.00082282,0.2,7987893,66597293
137678,32904,13938,0.00041097,0.0005,1861825,229328
17259,78334,1637,4.64E-06,0.17,6273,21806018
116354,22285,3737,0.00082185,0.05,2131032,4164584
53427,64100,6612,0.00034241,0.01,1172647,4238575
90490,13253,9861,0.00160539,0.23,1925398,30060725
76812,11976,6181,2.48E-05,0.3,22843,22210881
85002,76299,12894,0.00078778,0.07,5109276,68867064
18503,11505,45630,0.00082185,0.07,174967,36751204
32059,27862,2580,0.00108175,0.27,966276,19413339
16530,6031,28833,0.00013363,0.3,13324,52177000
98578,8419,12251,0.00163948,0.15,1360771,15473101
72748,30170,1334,0.00082185,0.23,1803836,9261174
11809,72153,5162,0.01084252,0.15,9239043,55870432
22704,20260,14434,0.00041097,0.13,189051,38019906
108177,41927,123,0.00056263,0.13,2551867,672878
30756,35241,39449,0.00082185,0.001,890808,1390252
97232,10992,9231,0.00108175,0.23,1156160,23339579
9749,8837,31680,0.00056263,0.25,48477,69995642
138365,72879,2995,0.00296184,0.07,29867255,15280260
41876,6882,33869,0.00163948,0.07,472550,16318582
28378,7345,12705,0.00296184,0.05,617424,4666329
125846,35261,4088,0.00082185,0.15,3646959,21625241
18950,30219,20777,0.01084252,0.0005,6209188,313942
92613,5623,689,1.65E-05,0.3,8599,1162835
93740,76799,9599,0.00015297,0.03,1101266,22117514
144618,76979,14104,0.00019487,0.01,2169406,10857126
76059,29501,1934,4.34E-06,0.27,9738,15406041
82652,99325,1056,0.00041097,0.2,3373860,20984855
72026,53861,7938,0.00182521,0.03,7080781,12826905
68185,29225,2123,0.00082185,0.001,1637722,62055
5209,65835,5205,0.00160539,0.07,550647,23989715
39954,14613,14943,0.00078778,0.3,459959,65512872
24317,59328,1856,0.00108175,0.15,1560652,16524944
71621,38011,20575,0.00082185,0.001,2237429,782108
24405,5052,26986,0.00047003,0.2,57956,27269434
55776,64406,1317,0.00860544,0.3,30913786,25450328
63061,22817,8559,0.00860544,0.23,12382613,44919136
14755,38418,5569,0.00182521,0.27,1034718,57777077
21874,29076,5003,0.00082185,0.3,522734,43644688
123147,80310,293,0.00041097,0.2,4064497,4714041
86768,74336,18021,0.00082185,0.01,5300992,13396376
20963,40129,15108,0.00082185,0.03,691388,18188634
110753,93,8420,4.64E-06,0.05,47,39158
125814,70923,1710,0.00019487,0.03,1738873,3639902
99252,5457,12269,0.00019487,0.17,105560,11384152
145202,7267,13945,2.09E-05,0.15,22035,15203825
109603,83385,2500,0.00047003,0.03,4295778,6255095
37344,85869,3827,0.00108175,0.1,3468873,32869405
75961,45874,6076,0.00034241,0.07,1193177,19512986
149025,26640,10783,0.01084252,0.15,43046066,43091334
133581,40963,1169,0.00108175,0.17,5919361,8147088
7245,39152,1753,8.43E-05,0.01,23911,686517
38694,73500,20391,0.00031941,0.03,908428,44963091
63103,91712,17640,0.00860544,0.005,49803060,8089160
16078,2721,29277,0.00056263,0.25,24617,19918243
37511,70684,4388,0.00163948,0.17,4347072,52733389
4082,84183,4801,0.02533638,0.03,8707454,12125608
46661,53393,5121,0.00163948,0.2,4084579,54691278
128219,60865,14498,0.00047003,0.0005,3668167,441239
96128,28068,18181,0.00078778,0.05,2125571,25516398
77547,7068,20679,0.00082282,0.2,451014,29233320
6709,19112,8872,0.00034241,0.3,43908,50873409
79456,61107,787,0.00163948,0.005,7960380,240647
104059,80978,4429,8.43E-05,0.03,710276,10761406
101515,8039,20913,0.00013363,0.17,109057,28582132
2747,33928,3705,2.09E-05,0.17,1946,21372377
79863,78374,11185,4.64E-06,0.001,29042,876696
127299,35148,229,0.00056263,0.13,2517412,1049330
17191,9665,7213,0.02533638,0.2,4210247,13945577
122448,11883,3983,0.01084252,0.005,15776596,236703
147710,67296,2240,0.00082487,0.07,8199550,10553565
48220,33377,18270,0.00034241,0.07,551110,42688447
36891,65692,6014,2.48E-05,0.001,60175,395111
128476,36330,2680,0.00860544,0.1,40166446,9739849
25740,48843,973,0.00108175,0.13,1360035,6183903
192,52823,18084,0.00160539,0.001,16309,955290
143243,404,6811,4.64E-06,0.3,269,827503
28340,29075,1463,0.00491597,0.23,4050851,9784335
81077,67665,1819,2.09E-05,0.07,114550,8619824
65757,13353,18342,0.00296184,0.2,2600835,48989295
144939,70968,739,4.64E-06,0.15,47727,7867060
110964,31609,13918,0.00163948,0.005,5750543,2199791
127364,17952,8005,0.00860544,0.13,19676612,18683106
60859,35602,159,0.00013363,0.23,289543,1302505
140972,81480,2863,0.00041097,0.23,4720610,53660450
72800,78348,11368,0.00182521,0.05,10410775,44536542
57017,64180,3661,0.00015297,0.2,559780,47003860
124153,53444,6534,0.00952101,0.1,63174689,34921787
62576,3723,14213,0.00163948,0.17,381987,8996521
29659,18798,9138,4.34E-06,0.2,2419,34359231
45963,8612,30850,0.00078778,0.2,311833,53136800
131255,32746,13004,0.01084252,0.001,46602312,425831
39865,44875,14849,0.00182521,0.0005,3265292,333182
94909,81045,21852,4.64E-06,0.0005,35690,885531
5054,24414,21471,0.00952101,0.001,1174865,524218
21923,66370,2627,0.00031941,0.13,464770,22674368
50876,42397,2341,0.01084252,0.01,23388039,992663
71568,93654,16568,0.00056263,0.0005,3771124,775880
33979,31498,8139,1.65E-05,0.05,17670,12818605
144611,96664,1045,0.00047003,0.13,6570467,13137261
68497,27366,2662,0.00163948,0.03,3073251,2185761
95220,7892,13866,0.00952101,0.15,7155039,16416083
7127,15134,10773,0.00160539,0.25,173169,40764357
142780,13436,14549,0.00182521,0.13,3501695,25414622
92753,72373,2006,0.00952101,0.25,63913166,36312737
51089,39562,11213,0.00031941,0.15,645613,66543377
49374,65246,29824,0.00082487,0.0005,2657308,972980
67349,17369,1288,0.00082487,0.07,964967,1566818
66495,35806,26119,0.00034241,0.05,815255,46761934
22551,2899,7204,0.00041097,0.07,26875,1462422
22928,10704,15190,0.00108175,0.23,265509,37400057
85898,247,995,0.00860544,0.25,183284,61705
9509,91566,8823,2.09E-05,0.03,18180,24238891
16461,16645,10291,0.00491597,0.2,1347029,34262512
72796,12026,3715,0.00034241,0.15,299771,6702366
143086,10618,2738,0.01084252,0.13,16473112,3780343
103807,82054,1194,0.00078778,0.25,6710222,24507221
54337,12836,18416,0.00082185,0.17,573247,40188261
72970,37778,1997,0.00015297,0.1,421688,7545091
84725,68784,2304,0.00108175,0.25,6304258,39631091
134569,12711,11404,0.01084252,0.23,18546962,33343514
8117,57406,9500,0.00056263,0.0005,262177,272692
57891,52835,6327,0.00031941,0.1,976981,33431780
132449,61512,8549,0.00013363,0.07,1088733,36813370
104791,48251,708,0.00370564,0.03,18737028,1025424
10062,60672,15270,0.00015297,0.07,93393,64855554
54390,4125,5405,4.34E-06,0.17,973,3790993
133615,48032,11168,0.00047003,0.13,3016572,69735088
48358,54234,5866,0.00018467,0.07,484326,22272010
112273,19392,7870,2.48E-05,0.13,54060,19840660
33047,17905,8258,0.00860544,0.001,5092216,147869
112238,64949,4299,0.00082282,0.25,5998169,69813465
48202,56017,3874,0.00056263,0.15,1519212,32556988
109189,27977,13789,0.00019487,0.03,595299,11574206
39405,18113,13763,0.00491597,0.27,3508935,67313244
68995,27841,15139,0.00013363,0.13,256697,54796778
103197,28816,14217,0.01084252,0.15,32242926,61453101
70082,14176,14605,0.00163948,0.25,1628826,51761657
47208,8543,1170,0.00952101,0.25,3839969,2500183
108507,50111,1630,0.01084252,0.005,58955505,408583
95173,10194,4421,0.00082185,0.3,797410,13521436
17514,38391,2308,0.00108175,0.001,727362,88623
86206,30078,6355,1.65E-05,0.15,42810,28674350
106549,23951,4413,0.00047003,0.07,1199520,7399721
62515,61145,8313,0.00160539,0.01,6136765,5083212
33903,32067,39358,0.00860544,0.0005,9355883,631055
125424,46060,5453,0.00108175,0.17,6249442,42699378
34649,17254,24,0.00370564,0.01,2215399,4197
85152,22155,919,0.02533638,0.001,47798876,20380
40158,2274,42995,8.43E-05,0.27,7698,26401916
34438,2178,29194,0.00082185,0.3,61655,19078654
1827,21271,30602,4.34E-06,0.01,168,6509595
63204,36278,1197,0.00078778,0.13,1806341,5648007
24080,22945,7051,1.65E-05,0.13,9122,21034257
105359,66589,9786,0.00013363,0.0005,937527,325853
98070,41854,10560,0.00082282,0.01,3377406,4420165
126496,26264,1697,0.00491597,0.3,16332440,13378443
11164,75084,27281,0.00108175,0.0005,906782,1024204
110364,39865,7162,0.00952101,0.005,41889837,1427709
118647,39207,2116,1.65E-05,0.2,76802,16598253
131504,30331,4908,0.00163948,0.07,6539435,10420844
