lr,lc,rc,ld,rd,lnnz,rnnz
45570,28546,16646,0.01084252,5.00E-04,14105078,237598
67883,99226,18656,0.00082282,0.03,5542431,55536860
92556,69330,9314,0.00015297,5.00E-04,981610,322902
39112,79766,14697,0.00019487,0.001,607969,1172370
102333,91521,3205,0.00034241,0.15,3206912,44012306
132845,10758,6320,0.00015297,0.001,218636,68004
39910,40182,7427,8.43E-05,0.001,135175,298472
70664,93969,4958,0.00082282,0.1,5463732,46597595
23366,1854,24827,1.65E-05,0.23,715,10588929
47533,62273,3634,2.48E-05,0.005,73498,1131753
123648,15621,2837,0.00031941,0.25,616945,11082262
17575,60920,24113,8.43E-05,0.01,90249,14689697
129062,27187,14909,0.00296184,0.001,10392808,405347
101559,73834,20846,0.00018467,0.001,1384757,1539206
104394,47509,3212,0.00860544,0.01,42681164,1526108
68692,82002,13387,0.00082185,5.00E-04,4629489,548893
84408,74676,19048,0.00082185,0.005,5180437,7112262
19074,36501,14700,0.00952101,0.13,6629051,69756577
16421,50823,39063,0.00015297,0.01,127664,19853068
119954,9130,11278,0.00056263,0.07,616195,7208001
114228,55762,10591,0.00163948,0.001,10442914,590619
125307,34099,5757,0.00013363,0.005,570997,981720
45773,26103,11944,0.00952101,0.07,11376156,21825669
90311,82980,0,0.00078778,0.1,5903676,2133
24426,8907,45792,0.00019487,0.1,42400,40790703
41638,3647,45940,0.00182521,0.27,277237,45248404
38946,24247,1862,0.00491597,0.07,4642411,3161469
11797,22136,33847,0.00296184,0.07,773512,52449849
33080,1838,11726,2.48E-05,0.13,1510,2803295
60552,21161,6476,0.00160539,0.25,2057158,34262461
17447,18582,10738,0.00056263,0.13,182412,25941707
64259,3242,6628,2.09E-05,0.13,4350,2794053
9031,12087,12846,0.00952101,0.2,1039386,31056110
46437,30086,1242,2.48E-05,0.15,34691,5606373
50114,159,9597,0.00952101,0.1,76300,153475
15869,94177,1255,0.00108175,0.03,1616781,3546674
20579,28873,20028,4.34E-06,0.01,2578,5782891
80123,1510,4231,0.00952101,5.00E-04,1152670,3196
81396,31272,16928,0.00015297,5.00E-04,389377,264696
32196,44869,1273,0.00082487,0.05,1191638,2857338
28094,67034,321,0.01084252,0.17,20419598,3666267
35847,24191,12204,0.00296184,0.13,2568551,38381859
146330,3625,1700,0.00013363,0.17,70893,1048301
32287,12018,34280,0.00370564,0.13,1437986,53561187
37342,4354,12547,0.00082282,0.2,133811,10928421
59470,3451,12065,0.00163948,0.27,336479,11242089
28188,20748,22457,0.00082282,0.07,481237,32616068
34872,43555,36823,0.00296184,5.00E-04,4498749,801939
67711,56669,65,0.00015297,0.27,586971,1003175
43942,5199,4600,0.00296184,0.15,676672,3587576
86202,93367,605,0.00108175,0.13,8706478,7347560
85567,82329,11979,0.00015297,0.07,1077632,69039725
20025,2276,17137,0.00370564,0.2,168944,7803329
134444,6216,9963,0.00296184,0.13,2475364,8051618
64956,14121,8255,0.00078778,5.00E-04,722594,58288
107907,20132,15123,0.00056263,0.13,1222279,39582103
27388,66131,10569,0.00078778,0.005,1426828,3494742
61673,82107,1413,4.64E-06,0.23,23496,26692021
7416,69482,2553,0.00018467,0.001,95166,177433
135216,42550,10700,4.34E-06,0.15,24970,68295044
15355,14467,4436,0.00015297,0.15,33985,9628348
78340,13515,1636,0.01084252,0.23,11479958,5087906
49239,83803,8717,0.00013363,0.05,551419,36528363
108846,34494,6161,2.48E-05,0.15,93226,31881301
45429,75945,1717,0.00108175,0.13,3732201,16956193
99552,56899,2763,0.00015297,0.005,866490,786122
107106,49854,3613,0.00160539,0.01,8572397,1801487
1094,38222,41574,0.00013363,0.001,5591,1589089
24852,86744,3535,0.00163948,0.15,3534350,46004232
90830,76394,3088,0.00078778,0.15,5466342,35392748
12404,25871,39802,2.09E-05,0.03,6700,30892499
26012,9801,26096,4.64E-06,0.15,1183,38369424
105441,6654,5765,0.00056263,0.01,394781,383675
45382,25700,43816,0.00952101,0.005,11104715,5630498
9755,39607,15868,0.00082282,0.05,317941,31425573
40855,28827,35568,0.00082487,0.01,971507,10253428
61815,91959,1407,0.00031941,0.17,1815685,22010725
3772,19866,1117,0.00015297,0.03,11466,665860
120949,14043,11242,2.48E-05,0.27,42175,42629601
8803,18871,40978,0.00047003,0.005,78086,3866759
17759,5828,30568,0.00952101,0.17,985473,30286813
52049,80338,15489,4.34E-06,0.05,18147,62218182
121439,42874,15671,0.00108175,0.05,5632306,33596319
136714,65350,10371,2.48E-05,0.001,221839,677749
20599,56366,14163,4.34E-06,0.03,5039,23950629
120046,21867,10793,0.01084252,0.27,28463409,63726508
71252,69473,784,0.00296184,0.27,14661436,14721047
104359,4515,17490,8.43E-05,0.2,39719,15795133
142088,63891,14268,0.00041097,0.03,3730875,27349516
145323,39278,6470,0.00160539,0.15,9163623,38123309
125758,1166,6379,0.00952101,0.05,1396728,372098
66598,10574,32087,0.00082487,0.2,580908,67861025
54243,65809,17808,0.00078778,0.005,2812157,5859983
7086,960,19771,0.00082282,0.13,5603,2470016
123295,815,4250,0.00491597,0.17,494472,589553
85345,4537,21191,0.00047003,0.005,182037,480836
75375,10015,23859,0.00018467,0.13,139418,31066457
110919,13589,7642,0.02533638,0.25,38190463,25963051
70376,99836,5436,0.00108175,0.03,7600590,16283058
123252,12968,608,0.00182521,0.17,2917448,1341228
81206,99814,417,0.00031941,0.15,2589027,6246274
46285,86372,1000,4.64E-06,0.25,18549,21612450
4970,87212,12829,0.02533638,0.03,10983731,33567535
46583,95283,739,0.00034241,0.27,1519848,19034268
10755,2602,12013,0.00860544,0.01,240859,312622
83007,2642,22043,2.09E-05,0.3,4579,17474057
92173,76665,10514,0.00047003,0.01,3321491,8060805
137259,16725,12175,2.48E-05,0.27,57002,54984569
44121,55895,4023,0.00082487,0.001,2034307,224888
20359,2873,1374,0.00034241,0.23,20031,908145
90106,19264,17399,0.00082282,0.15,1428284,50277632
92224,24054,5663,0.00296184,0.13,6570660,17711788
93666,44900,4587,0.00491597,0.15,20675269,30898610
103463,10056,14922,0.00082185,0.23,855120,34514704
58925,89633,16298,8.43E-05,0.001,445191,1460853
24786,49397,15768,8.43E-05,0.005,103202,3894573
13448,8181,35928,0.00160539,0.2,176635,58787408
127909,7834,6771,0.00034241,0.27,343130,14324681
83119,25299,2634,0.00015297,0.23,321674,15331731
29557,33195,15225,0.00031941,0.005,313399,2527068
141994,812,3213,4.64E-06,0.23,535,600429
121145,68043,3084,8.43E-05,0.01,694818,2098537
96131,21496,11505,0.00491597,0.01,10158772,2473281
12806,55952,19546,0.00034241,0.03,245362,32810134
12486,55693,4145,8.43E-05,5.00E-04,58615,115439
95931,3106,6682,0.00082282,0.17,245171,3528682
38253,38475,5896,4.64E-06,0.3,6829,68065033
67495,8836,3484,0.00019487,0.07,116222,2155351
69277,4589,30548,0.00952101,0.13,3026923,18224510
78480,70925,19652,0.00078778,0.05,4384981,69692177
38045,43977,9948,1.65E-05,0.15,27623,65626804
70380,73649,3263,0.00860544,0.23,44606014,55277937
42627,15256,45329,0.00296184,0.07,1926289,48411375
81810,58383,19738,0.00370564,0.03,17699551,34571949
131876,93658,2921,0.00182521,0.17,22543797,46511407
45485,44891,2905,0.00047003,0.005,959770,652109
120791,38778,8045,0.01084252,0.01,50788037,3119834
144034,91484,2353,0.00056263,0.15,7413740,32293428
69027,77102,5102,0.00108175,0.15,5757243,59008078
19406,38538,1745,0.00160539,0.1,1200643,6726749
19909,65662,2631,0.00041097,0.15,537277,25921174
73425,17293,6863,0.00108175,0.17,1373613,20176906
66,87852,5941,0.00015297,0.05,889,26097967
90252,90875,2268,0.00013363,0.05,1096003,10305767
104969,14159,5831,0.01084252,0.23,16115361,18990979
10918,25212,15188,0.00370564,0.15,1020088,57442560
119515,47344,4122,2.48E-05,0.13,140497,25372514
125075,69622,2673,0.00018467,0.25,1608130,46525708
31978,74928,3747,0.00182521,0.15,4373370,42114169
60949,68352,10893,0.00034241,0.001,1426496,744619
59442,56801,3631,0.00082185,0.1,2774927,20624921
21642,29337,4502,0.00952101,0.05,6045301,6605312
63026,47393,17445,0.00370564,0.01,11068732,8268151
136331,15629,4106,0.00031941,0.17,680581,10911162
125604,6116,14367,8.43E-05,0.25,64752,21967753
75197,77020,2175,0.00013363,0.05,773950,8376292
32427,4352,33983,0.02533638,0.3,3575776,44370485
93637,88620,1239,0.00019487,0.13,1617073,14283738
31685,45638,8112,0.00056263,0.17,813619,62943165
94207,26011,12308,0.00296184,0.13,7258017,41623002
52897,72532,21596,0.00860544,0.001,33017585,1566441
137640,45447,5185,0.00041097,0.25,2570773,58913094
9161,21670,42441,0.00491597,0.005,975934,4598562
107411,35404,2586,0.00952101,0.13,36206862,11905027
105374,9704,3145,2.09E-05,0.17,21351,5190029
49137,17661,35671,0.00082185,0.01,713244,6300274
18636,2942,26937,0.00370564,0.27,203234,21404060
44969,9152,9992,0.00160539,0.3,660777,27437483
80601,36032,9654,2.09E-05,0.17,60642,59136561
41510,31861,4889,0.00952101,0.27,12592494,42063436
72414,1324,8439,0.01084252,0.17,1040148,1900664
13809,65629,4672,0.01084252,0.07,9826590,21464987
30674,22076,23544,1.65E-05,0.1,11180,51976634
35955,26338,36399,0.00182521,0.001,1728486,958697
125,8112,18470,0.00013363,0.01,135,1498417
2033,68378,4371,0.00296184,0.001,411871,298947
62589,9166,1444,4.34E-06,0.15,2490,1985934
37291,42613,6477,0.00015297,0.17,243090,46928827
7969,37478,5331,8.43E-05,0.001,25176,199815
58203,8376,32036,4.64E-06,0.13,2262,34885117
17989,79687,7990,4.34E-06,0.1,6221,63670298
56893,13320,23506,0.00041097,0.05,311461,15656323
113285,3752,16041,0.00182521,0.07,775811,4213172
62036,58886,4721,0.00034241,0.25,1250854,69513453
56710,15388,3757,0.00013363,0.05,116616,2890841
26202,27435,4204,0.00082282,0.07,591515,8074913
19162,95577,744,0.00160539,0.05,2940290,3557415
142023,41124,428,4.64E-06,0.23,27100,4057404
89983,7469,18512,0.00082487,0.17,554418,23507692
63682,34424,4071,0.00182521,0.25,4001290,35044038
74017,65384,22649,0.00296184,0.005,14334131,7404701
122786,51024,1890,0.00078778,0.07,4935548,6751611
40574,44527,10834,4.64E-06,0.001,8382,482446
24953,40657,37266,0.00082185,5.00E-04,833792,757565
34625,14462,8493,0.00491597,0.13,2461757,15969464
149924,18045,6008,0.00952101,0.15,25758436,16263590
133990,48122,1575,0.00163948,0.3,10571322,22748627
24559,15216,2163,0.00082185,0.2,307132,6585087
20280,21164,4088,0.00078778,0.3,338142,25961644
32298,53488,32513,0.00015297,5.00E-04,264274,869554
19124,20067,23446,0.00160539,0.13,616126,61169121
10434,48582,40719,1.65E-05,5.00E-04,8369,989133
29659,51368,14432,0.00056263,0.005,857197,3706835
51403,14042,29793,2.09E-05,5.00E-04,15072,209192
76884,36652,7783,0.00182521,0.07,5143520,19970573
117451,7549,3267,0.00034241,0.13,303615,3207147
14424,67413,5830,2.09E-05,0.13,20303,51092809
11130,55825,354,0.00160539,0.3,997553,5931764
16614,60383,2159,2.09E-05,0.001,20948,130392
12127,9471,31471,0.02533638,0.05,2910368,14904470
11938,93495,2416,0.01084252,0.27,12102059,60993961
93837,87376,3095,0.00182521,0.03,14965323,8114081
72781,1269,17301,0.00860544,0.07,795017,1537273
20728,52558,31299,0.00015297,0.03,166656,49350850
8721,8162,48420,2.48E-05,0.15,1767,59287446
42783,52125,1594,0.00019487,0.17,434579,14128941
57670,45209,7582,0.00018467,0.15,481483,51417273
852,28547,171,0.01084252,0.27,263754,1324292
72858,31948,308,0.00082487,0.23,1920079,2266319
109548,28577,2095,4.34E-06,0.03,13586,1796185
21916,98018,783,0.00034241,0.01,735571,767901
44765,60130,1338,4.34E-06,0.01,11682,805079
108702,18501,9298,0.00296184,0.005,5956766,860225
69625,55426,12366,0.00078778,0.03,3040081,20562141
92918,54918,663,0.00056263,0.05,2871058,1821862
2542,88852,6784,0.00182521,0.001,412301,602783
55280,4393,35982,0.00370564,0.23,899910,36356667
62260,52853,7511,2.48E-05,0.01,81707,3970178
