lr,lc,rc,ld,rd,lnnz,rnnz
106473,55163,3529,0.00019487,0.005,1144563,973395
127836,99919,2094,0.00108175,0.27,13817600,56514273
59320,36034,6134,0.02533638,0.27,54158770,59682244
123938,58691,10164,0.00082487,0.1,6000229,59655597
97465,6573,10079,4.64E-06,0.05,2972,3312775
103900,14936,2990,0.00952101,0.15,14775893,6699737
42405,5271,13323,4.34E-06,0.27,970,18964664
54367,28014,174,0.00108175,0.05,1647599,244363
64396,7638,8558,2.09E-05,0.15,10270,9806044
92702,8089,3748,0.00108175,0.27,811241,8187731
41072,54742,34042,0.00163948,0.03,3686290,55907405
84823,19671,9344,0.00018467,0.23,308143,42279068
66109,56652,9190,0.00018467,0.05,691629,26032415
110504,35012,3607,4.34E-06,0.25,16791,31576350
20185,51034,9916,0.00019487,0.005,200744,2530519
13276,3898,18164,0.00160539,0.01,83089,708116
27161,36818,35318,0.00163948,0.05,1639542,65018672
56447,7312,37312,0.00047003,0.2,194012,54569657
112463,35655,17363,0.00082487,0.005,3307687,3095508
665,77301,6310,0.00491597,0.13,252827,63414679
382,15979,8648,0.00031941,0.3,1952,41458462
134067,19024,1039,0.00952101,0.27,24283459,5341189
70244,7931,19862,0.00047003,0.005,261879,787729
100884,64391,7606,0.00370564,0.13,24072056,63671743
127305,13678,16007,0.00034241,0.3,596259,65688447
46340,34419,29122,0.01084252,0.05,17294013,50118695
7049,2315,44866,0.00160539,0.05,26208,5195053
31425,45165,19809,0.00860544,0.07,12214190,62628356
86052,8955,13227,0.00056263,0.25,433564,29613837
54296,3943,33280,0.00082185,0.27,175976,35435763
133374,69536,10943,8.43E-05,0.001,781734,760979
33116,62395,24700,0.00031941,0.005,659994,7705871
90449,52,15742,0.00031941,0.05,1511,41193
82301,41522,3907,0.00013363,0.03,456659,4868047
55582,27357,19096,0.01084252,0.07,16487006,36570103
20343,21789,4156,0.00952101,0.05,4220400,4528571
77885,64804,2763,4.64E-06,0.07,23419,12536409
13229,35246,14879,0.00078778,0.07,367323,36710679
145093,42819,889,0.00018467,0.15,1147325,5714969
45808,6558,34201,0.00370564,0.03,1113275,6729115
106129,5947,15723,0.00013363,0.2,84352,18704554
13828,43364,1677,0.00041097,0.0005,246448,36370
47433,11645,5244,0.00078778,0.25,435178,15270493
