lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
73287,5810,17923,0.00015297,0.3,65139,31243081,1109,23323,24432,27410,252,26727
35773,24749,7821,0.00047003,0.17,416149,32907979,1955,16704,18659,33173,737,21563
82597,83646,2519,0.00013363,0.03,923240,6321702,2253,9988,12241,5640,2203,20928
69420,40962,10465,0.00952101,0.13,27074371,55732444,2936,477717,480653,367858,1563,1484124
79098,33153,27005,0.00296184,0.03,7767106,26859588,10341,375972,386313,258493,4139,1155489
96800,66343,67,0.00491597,0.25,31570600,1117164,36,5669,5705,5305,25,13463
22290,3628,41455,0.00056263,0.27,45499,40608411,1561,23056,24617,44552,534,19101
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954,13891,407728
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783,1460959
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319,38176
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135,53723
1845,30962,44492,0.00952101,0.005,544057,6888066,7506,41238,48744,5525,7210,141780
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948,2428,3006991
137034,91065,2431,2.09e-05,0.27,260563,59785667,1865,29664,31529,13050,1164,21612
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,41456,38712,2337,112109
124839,80742,12194,4.64e-06,0.05,46770,49230041,13468,38662,52130,3095,12209,49356
101995,21211,15495,0.00018467,0.15,399527,49303159,11033,43004,54037,78032,1142,65043
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,108173,121873,1095,284582
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291,58298
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,11666,32010,781,34758
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,163658,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808,537,13699
64180,3726,23916,0.00296184,0.13,708381,11586162,338,36337,36675,116156,218,103831
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839,1320,4686
116075,22610,9987,0.01084252,0.27,28456074,60971279,1888,826964,828852,857444,1181,1882301
14070,53083,14692,0.02533638,0.01,18924549,7799590,8489,376718,385207,35437,7876,1439452
47748,2131,15014,0.00160539,0.23,163390,7360783,121,9706,9827,35097,80,20323
88232,60784,23716,0.00182521,0.001,9788985,1441623,7821,526233,534054,17520,7752,1410079
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,81745,76994,5176,217923
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,60825,24041,9962,200444
59470,41601,16892,0.00041097,0.01,1016753,7027616,4463,38478,42941,14283,4567,111859
36458,44661,39969,0.00952101,0.005,15503072,8925613,12333,934983,947316,138056,7175,3176011
147751,75258,10129,0.00031941,0.005,3551712,3811632,4541,128220,132761,14374,4704,294244
83826,30839,11021,0.02533638,0.17,65497623,57781073,2672,1372056,1374728,1055493,680,3917770
142464,94820,844,0.00160539,0.3,21686349,24010189,808,69522,70330,70138,439,138342
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,1976725,455431,7278,6344489
59148,13274,9381,0.01084252,0.005,8513016,622645,184,132249,132433,26554,345,424570
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,86995,11701,3644,227207
4326,40343,6596,0.00370564,0.13,646812,34596220,1809,7769,9578,6827,1356,25705
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589,2177,1404512
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,10838,3822,5168,8869
50720,6003,36444,0.00108175,0.17,329375,37192673,1617,43212,44829,134107,1147,85870
14048,771,13751,0.00860544,0.15,93233,1590754,51,3281,3332,10364,38,8331
131503,46495,3807,0.00019487,0.27,1191490,47802468,2090,30850,32940,69208,692,38575
42661,98275,810,0.00082282,0.3,3449722,23882852,841,4908,5749,11151,435,16124
124491,2989,8506,0.00019487,0.25,72515,6356963,105,10439,10544,12515,269,16672
41526,6876,37572,2.48e-05,0.17,7090,43921099,9862,21326,31188,3534,1357,30719
109787,84007,12567,0.00082185,0.005,7579868,5278713,7366,287485,294851,39415,5645,673062
7293,88117,3594,0.00015297,0.15,98310,47505746,10496,3821,14317,3486,10299,5971
26691,23258,14148,0.00041097,0.03,255133,9872247,3389,14114,17503,7660,3250,28946
146723,50138,9134,0.00031941,0.13,2349750,59535716,13810,86127,99937,179105,2347,172021
125857,42282,11878,0.00108175,0.13,5756540,65294101,15849,242265,258114,279746,2563,490901
25669,4966,8747,0.00082185,0.2,104775,8688468,371,4782,5153,12479,240,9104
64621,50363,25942,0.00296184,0.03,9639487,39196463,15213,425480,440693,230110,6095,1347968
57597,63238,755,0.00078778,0.3,2869437,14330699,511,3797,4308,9590,158,12643
126922,57792,10927,0.00108175,0.005,7934737,3157595,4789,285741,290530,35739,3486,633867
12643,99596,2325,0.00041097,0.13,517516,30104139,1473,4775,6248,4143,1201,10349
149793,78568,2030,0.00082487,0.17,9707925,27118251,1574,86853,88427,76822,566,151349
37092,15365,48284,1.65e-05,0.07,9409,51934231,12710,38043,50753,3064,12065,45723
126823,88859,2657,0.00163948,0.15,18476023,35422494,1662,182056,183718,114249,1225,366042
86839,13389,21867,0.01084252,0.03,12607482,8784267,5408,588059,593467,253348,1379,1588297
118113,63168,1877,0.00491597,0.27,36678218,32014833,1389,204898,206287,196682,637,485962
38901,3854,43891,0.00108175,0.3,162196,50751830,1889,38007,39896,130032,640,28175
52392,2000,17644,0.02533638,0.2,2655227,7058675,179,65572,65751,137324,85,248432
143170,72851,5332,0.00015297,0.13,1595504,50497653,11770,44382,56152,76801,1162,73901
12352,12468,17608,0.02533638,0.17,3902395,37324854,1585,94922,96507,102809,439,356481
12228,10281,22617,0.00013363,0.23,16801,53483788,1903,19699,21602,6471,1215,6127
89931,29792,8757,0.00860544,0.23,23056524,60007616,2024,486978,489002,477102,549,1194768
51594,92721,20107,0.00296184,0.01,14169019,18644313,14713,477089,491802,128927,10431,1550798
18829,7341,36671,0.02533638,0.25,3502645,67309410,2145,182188,184333,247841,572,666427
26889,71999,9831,0.00370564,0.01,7174091,7078480,5636,106373,112009,29793,5511,378972
99044,73254,1425,0.00296184,0.15,21489714,15659006,932,79985,80917,60919,269,197743
74758,70969,1479,0.00031941,0.15,1694668,15753736,383,5916,6299,20893,410,17385
46242,36529,1934,0.00082282,0.2,1389925,14131215,292,4796,5088,13070,307,16240
77588,7012,13176,0.00108175,0.17,588548,15707328,299,22254,22553,76503,232,54712
131972,55300,2384,8.43e-05,0.25,615158,32968910,1343,16749,18092,32219,285,14840
145187,329,915,0.02533638,0.07,1213491,21132,10,3463,3473,4018,6,3525
45618,54388,7874,0.01084252,0.07,26901567,29979312,2520,330980,333500,141955,1469,1080030
106923,44899,8525,0.01084252,0.15,52052697,57416751,2638,1184739,1187377,712082,734,2760805
38161,17898,18304,0.00056263,0.15,384302,49144312,10708,33311,44019,62884,1089,46874
23590,50019,790,0.01084252,0.3,12793700,11868472,157,13706,13863,21601,219,51898
44607,19677,39166,0.00952101,0.005,8357244,3853527,5661,477671,483332,92943,3362,1688947
69020,29619,10640,0.00160539,0.05,3281969,15758694,4961,63950,68911,82509,1524,198465
51899,68702,24643,0.00082487,0.005,2941198,8465346,9321,121013,130334,27109,9282,413429
90343,3655,18815,0.00108175,0.2,357278,13757150,227,25967,26194,82586,151,54877
112303,45995,9913,2.09e-05,0.1,107854,45596748,10469,31746,42215,19662,847,39521
136012,27908,6746,0.00047003,0.3,1784207,56486517,2421,53072,55493,136643,730,91244
132120,96192,6405,1.65e-05,0.05,209826,30806895,7749,27659,35408,6377,7910,35291
10790,12194,40234,0.00018467,0.13,24300,63785073,13931,7522,21453,8820,13596,12896
58225,64324,30532,0.00860544,0.03,32230464,58919556,25281,1607057,1632338,435324,9287,5270161
138502,70304,8703,0.00163948,0.03,15964237,18356833,9033,515629,524662,178173,2905,1024345
146306,88028,7276,8.43e-05,0.01,1085579,6405159,3987,31628,35615,8953,4037,80415
29927,62586,11380,0.00182521,0.01,3418698,7122438,4903,57735,62638,24762,4461,222732
2914,11502,8793,0.00952101,0.07,319125,7080480,337,4703,5040,3388,2212,16147
121477,76645,4221,0.00108175,0.2,10071912,64704944,2577,165724,168301,174168,653,302937
52831,44990,2389,0.00952101,0.005,22630667,537523,159,86739,86898,10885,167,285933
31675,6269,42255,0.01084252,0.17,2153149,45035833,1920,134080,136000,235241,1389,485021
94363,5230,18546,0.00082282,0.05,406121,4850452,883,27563,28446,29114,224,63263
39622,7533,18033,0.00860544,0.23,2568732,31246910,1353,75367,76720,128306,290,248510
33516,14747,19335,0.00108175,0.17,534712,48476577,11110,27566,38676,86110,1476,63813
51159,22716,2259,0.00160539,0.27,1865687,13857905,199,6611,6810,19250,215,23568
19262,19661,44929,0.00041097,0.03,155648,26502292,9003,34451,43454,14889,8484,67751
12771,2864,41620,0.00370564,0.05,135589,5961984,1029,12526,13555,19361,293,35753
74690,89120,1325,0.00952101,0.3,63375803,35445931,1300,137558,138858,203002,642,447124
127324,14202,12459,0.00108175,0.3,1956124,53085074,2047,80885,82932,261416,380,182014
13357,3737,49963,0.00041097,0.17,20517,31744729,1790,14607,16397,16756,758,17526
18807,42546,7773,0.00296184,0.01,2370036,3307212,2359,24720,27079,10980,2393,99997
140665,33115,8686,0.00082282,0.2,3832931,57534165,2125,132907,135032,218311,1462,252306
130997,97478,5628,0.00034241,0.1,4372373,54866216,13597,104790,118387,112922,2698,191580
47798,3110,28586,0.00056263,0.17,83652,15116762,919,16108,17027,29873,192,28600
84648,73824,13503,0.00370564,0.001,23157073,996878,8110,633444,641554,23818,7798,1783888
147051,82507,5608,1.65e-05,0.1,200313,46271228,10604,27321,37925,10300,10416,29439
8177,95526,12402,0.00041097,0.05,321034,59238666,16223,22135,38358,10547,17377,38151
30683,7848,9094,0.00019487,0.27,46930,19272087,696,8674,9370,11681,382,4893
51052,10294,38208,0.00082487,0.07,433534,27534437,6706,45112,51818,88880,1913,113017
69415,51475,23755,0.00952101,0.01,34020846,12228430,13982,1286378,1300360,241296,5384,4319073
111385,753,14947,0.01084252,0.17,909650,1913960,62,32770,32832,107097,37,92391
33148,22849,33330,0.00047003,0.07,356008,53309296,13167,45412,58579,62160,2946,98308
74870,36072,27484,0.00082282,0.07,2222250,69401615,17391,136261,153652,251642,4829,385302
123079,89487,5142,0.00491597,0.15,54145161,69023104,3114,915382,918496,501432,900,1908941
47933,76601,10278,0.00056263,0.005,2065877,3936721,4378,41818,46196,9540,4355,131046
143714,22980,12572,1.65e-05,0.2,54526,57785245,2254,43715,45969,11312,1491,39506
15680,14140,18518,0.01084252,0.1,2404173,26186650,6754,52143,58897,59118,504,235629
68035,27306,9442,0.00163948,0.01,3045896,2578516,2194,48953,51147,21264,1174,159624
147234,74227,1712,0.00013363,0.2,1460409,25420363,1275,17746,19021,32416,408,21034
28673,37852,8958,0.00078778,0.07,855029,23738532,5980,22907,28887,35243,1681,46033
109992,20548,3259,0.00108175,0.05,2444972,3349236,606,21074,21680,25015,874,55835
63724,95476,2057,0.00952101,0.25,57927529,49106905,2108,187425,189533,226254,1025,611491
30439,9865,24460,0.00018467,0.27,55458,65158616,1942,32205,34147,35551,501,15937
146542,47400,14083,0.00015297,0.005,1062553,3337732,3643,50181,53824,7298,3850,132569
2649,84683,24624,0.02533638,0.0005,5684914,1042655,10277,194873,205150,3846,10245,751545
52088,15022,17838,0.00041097,0.03,321591,8039611,2755,19794,22549,14160,2694,46509
66514,4151,7842,0.00182521,0.25,504027,8140384,128,10839,10967,49672,82,25955
140006,72416,7045,0.00296184,0.1,30029388,51019636,18297,779620,797917,327001,2591,1537516
135369,2777,4545,0.00296184,0.25,1113521,3156135,63,14666,14729,57759,42,38667
21709,41970,48083,0.00082185,0.005,748834,10090381,10862,74650,85512,12222,10602,226811
29019,10514,24642,0.00296184,0.27,903732,69957326,15279,29169,44448,114034,1286,122470
86561,24401,3775,0.00082487,0.03,1742347,2763954,221,14531,14752,16184,178,42780
88707,27388,1625,0.00056263,0.03,1366926,1335779,116,5868,5984,4582,395,16029
109062,5263,9675,0.00047003,0.3,269817,15277662,210,14660,14870,55539,120,28637
13864,64032,10136,0.00018467,0.07,163951,45434242,11029,11387,22416,17626,1162,18828
45950,9687,41068,0.00034241,0.15,152428,59680999,13063,46008,59071,95317,2031,74495
117473,19911,12853,0.00047003,0.17,1099416,43509121,1910,52321,54231,158593,1298,106091
10259,33362,19781,0.00056263,0.05,192576,32997732,9199,14593,23792,11940,7936,44255
41716,1528,48939,0.00296184,0.15,188905,11223410,224,28094,28318,81853,163,65055
39523,49021,420,0.00952101,0.3,18446961,6189340,90,11588,11678,15018,56,39582
46157,10736,40629,0.00108175,0.03,536103,13087097,4464,46660,51124,48013,2022,137162
10160,10643,36369,0.01084252,0.13,1172463,50321986,11588,47179,58767,63426,11612,221102
70841,95545,4315,0.00018467,0.13,1249953,53608194,12153,12798,24951,33986,12140,36401
41773,25567,33592,0.00491597,0.005,5250507,4294467,5307,270026,275333,54589,3251,921031
145137,20818,863,0.00182521,0.17,5514892,3055598,109,16718,16827,23352,105,36559
80562,96020,7597,0.00082487,0.05,6380934,36477889,11011,109329,120340,115349,3550,307109
13153,76904,23956,0.00860544,0.005,8704881,9211673,11673,285556,297229,36644,11431,1109204
99388,95942,2157,0.00370564,0.01,35335477,2069510,1023,204750,205773,26649,8260,473134
36173,25067,26327,8.43e-05,0.05,76429,32997420,9208,30934,40142,14537,8526,35971
39842,1425,32746,0.01084252,0.3,615624,13999723,505,35894,36399,152135,111,115957
78524,34189,1356,0.02533638,0.27,68020463,12526240,329,156229,156558,188039,282,187206
44352,1690,29775,0.00047003,0.27,35251,13594279,322,13580,13902,19569,279,21025
5211,22027,8867,0.02533638,0.13,2908344,25393712,1943,30528,32471,26308,1002,135179
98800,40382,2182,0.00370564,0.23,14784635,20269144,355,79983,80338,78570,215,200090
5814,74342,3779,0.00160539,0.15,693896,42147719,2044,6581,8625,5512,1447,17948
84464,33862,3693,0.00041097,0.27,1175461,33766314,1484,21096,22580,44875,400,29759
133800,71093,3860,0.00034241,0.15,3257110,41167728,9894,42697,52591,88024,814,100226
42629,10613,23673,0.00296184,0.005,1340071,1256277,1774,48493,50267,11341,1507,174917
96630,63544,2636,0.00491597,0.15,30185858,25131143,1557,222254,223811,135057,394,478976
31340,38485,10214,0.00860544,0.15,10379285,58966077,15689,157551,173240,148568,770,543398
102673,87802,1960,0.00015297,0.15,1379024,25825028,1707,15328,17035,22402,6407,21386
130034,10558,1369,0.00082282,0.17,1129696,2458915,60,5036,5096,16428,46,12018
138756,92150,2193,0.00034241,0.27,4378237,54579993,1720,55775,57495,62037,1040,86507
34417,1747,45555,0.00182521,0.05,109755,3979659,201,18585,18786,16654,151,41599
113168,68505,1672,0.00019487,0.25,1510772,28650228,1178,6627,7805,26317,251,20307
142586,4318,12859,0.00019487,0.23,119994,12772463,194,18603,18797,24670,729,32506
